기준년월,광역지자체,방문자 구분,방문자 수
202202,전국,전체방문자(a+b),838495382.0
202202,전국,현지인방문자(a),655388650.0
202203,전국,외지인방문자(b),218460697.0
202203,전국,전체방문자(a+b),970266812.0
202203,전국,현지인방문자(a),751806114.0
202204,전국,외지인방문자(b),225017950.0
202204,전국,전체방문자(a+b),976369936.0
202204,전국,현지인방문자(a),751351986.0
202205,전국,외지인방문자(b),241048829.0
202205,전국,전체방문자(a+b),1040685814.0
202205,전국,현지인방문자(a),799636985.0
202206,전국,외지인방문자(b),227965262.0
202206,전국,전체방문자(a+b),1005584752.0
202206,전국,현지인방문자(a),777619490.0
202207,전국,외지인방문자(b),270994962.0
202207,전국,전체방문자(a+b),1079656606.0
202207,전국,현지인방문자(a),808661644.0
202208,전국,외지인방문자(b),251784449.0
202208,전국,전체방문자(a+b),1040400067.0
202208,전국,현지인방문자(a),788615618.0
202209,전국,외지인방문자(b),256265233.0
202209,전국,전체방문자(a+b),1056008968.0
202209,전국,현지인방문자(a),799743735.0
202210,전국,외지인방문자(b),257389058.0
202210,전국,전체방문자(a+b),1080857827.0
202210,전국,현지인방문자(a),823468768.0
202211,전국,외지인방문자(b),228248412.0
202211,전국,전체방문자(a+b),1046344274.0
202211,전국,현지인방문자(a),818095862.0
202212,전국,외지인방문자(b),220604422.0
202212,전국,전체방문자(a+b),1038421822.0
202212,전국,현지인방문자(a),817817399.0
202301,전국,외지인방문자(b),238220888.0
202301,전국,전체방문자(a+b),1024451480.0
202301,전국,현지인방문자(a),786230592.0
202302,전국,외지인방문자(b),215615824.0
202302,전국,전체방문자(a+b),952934076.0
202302,전국,현지인방문자(a),737318253.0
202303,전국,외지인방문자(b),261480278.0
202303,전국,전체방문자(a+b),1094923050.0
202303,전국,현지인방문자(a),833442771.0
202304,전국,외지인방문자(b),226840876.0
202304,전국,전체방문자(a+b),1017128112.0
202304,전국,현지인방문자(a),790287236.0
202305,전국,외지인방문자(b),248242194.0
202305,전국,전체방문자(a+b),1104360754.0
202305,전국,현지인방문자(a),856118560.0
202306,전국,외지인방문자(b),232751628.0
202306,전국,전체방문자(a+b),1012866082.0
202306,전국,현지인방문자(a),780114454.0
202307,전국,외지인방문자(b),248473172.0
202307,전국,전체방문자(a+b),1027997831.0
202307,전국,현지인방문자(a),779524658.0
202308,전국,외지인방문자(b),256099970.0
202308,전국,전체방문자(a+b),1022562846.0
202308,전국,현지인방문자(a),766462876.0
202309,전국,외지인방문자(b),264684301.0
202309,전국,전체방문자(a+b),1012894382.0
202309,전국,현지인방문자(a),748210082.0
202310,전국,외지인방문자(b),259500927.0
202310,전국,전체방문자(a+b),1064151914.0
202310,전국,현지인방문자(a),804650987.0
202311,전국,외지인방문자(b),226900440.0
202311,전국,전체방문자(a+b),1018141579.0
202311,전국,현지인방문자(a),791241140.0
202312,전국,외지인방문자(b),236260266.0
202312,전국,전체방문자(a+b),1019044470.0
202312,전국,현지인방문자(a),782784205.0
202401,전국,외지인방문자(b),227943286.0
202401,전국,전체방문자(a+b),992725584.0
202401,전국,현지인방문자(a),764782298.0
202402,전국,외지인방문자(b),240529296.0
202402,전국,전체방문자(a+b),941657972.0
202402,전국,현지인방문자(a),701128676.0
202403,전국,외지인방문자(b),269319732.0
202403,전국,전체방문자(a+b),1051182314.0
202403,전국,현지인방문자(a),781862582.0
202404,전국,외지인방문자(b),225849704.0
202404,전국,전체방문자(a+b),975574386.0
202404,전국,현지인방문자(a),749724682.0
202405,전국,외지인방문자(b),249494948.0
202405,전국,전체방문자(a+b),1034630362.0
202405,전국,현지인방문자(a),785135414.0
202406,전국,외지인방문자(b),234623680.0
202406,전국,전체방문자(a+b),991520159.0
202406,전국,현지인방문자(a),756896480.0
202407,전국,외지인방문자(b),241569724.0
202407,전국,전체방문자(a+b),1013201168.0
202407,전국,현지인방문자(a),771631444.0
202408,전국,외지인방문자(b),259614142.0
202408,전국,전체방문자(a+b),1016481966.0
202408,전국,현지인방문자(a),756867825.0
202409,전국,외지인방문자(b),261619505.0
202409,전국,전체방문자(a+b),1006327000.0
202409,전국,현지인방문자(a),744707495.0
202410,전국,외지인방문자(b),252035070.0
202410,전국,전체방문자(a+b),1047260690.0
202410,전국,현지인방문자(a),795225620.0
202411,전국,외지인방문자(b),232806864.0
202411,전국,전체방문자(a+b),1007161582.0
202411,전국,현지인방문자(a),774354718.0
202412,전국,외지인방문자(b),231543414.0
202412,전국,전체방문자(a+b),1021281600.0
202412,전국,현지인방문자(a),789738187.0
202501,전국,외지인방문자(b),249464400.0
202501,전국,전체방문자(a+b),996248250.0
202501,전국,현지인방문자(a),746783849.0
202502,전국,외지인방문자(b),212761913.0
202502,전국,전체방문자(a+b),917012033.0
202502,전국,현지인방문자(a),704250120.0
202503,전국,외지인방문자(b),267255530.0
202503,전국,전체방문자(a+b),1047092564.0
202503,전국,현지인방문자(a),779837034.0
202504,전국,외지인방문자(b),224573307.0
202504,전국,전체방문자(a+b),1001201460.0
202504,전국,현지인방문자(a),776628153.0
202505,전국,외지인방문자(b),294537796.0
202505,전국,전체방문자(a+b),1114671708.0
202505,전국,현지인방문자(a),820133912.0
202506,전국,외지인방문자(b),248355233.0
202506,전국,전체방문자(a+b),1056194909.0
202506,전국,현지인방문자(a),807839676.0
202507,전국,외지인방문자(b),265590038.0
202507,전국,전체방문자(a+b),1107580201.0
202507,전국,현지인방문자(a),841990163.0
202508,전국,외지인방문자(b),276922254.0
202508,전국,전체방문자(a+b),1100347818.0
202508,전국,현지인방문자(a),823425564.0
202509,전국,외지인방문자(b),253690426.0
202509,전국,전체방문자(a+b),1088562906.0
202509,전국,현지인방문자(a),834872479.0
202510,전국,외지인방문자(b),297320482.0
202510,전국,전체방문자(a+b),1114637944.0
202510,전국,현지인방문자(a),817317462.0
202511,전국,외지인방문자(b),256506246.0
202511,전국,전체방문자(a+b),1090827647.0
202511,전국,현지인방문자(a),834321400.0
202512,전국,외지인방문자(b),248885637.0
202512,전국,전체방문자(a+b),1091103184.0
202512,전국,현지인방문자(a),842217548.0
