광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,1.31065291E8,5.3,2.673581E7,11.4
강원특별자치도,원주시,1.31065291E8,5.3,2.7360834E7,11.7
강원특별자치도,강릉시,1.31065291E8,5.3,3.121363E7,13.4
강원특별자치도,동해시,1.31065291E8,5.3,1.0287991E7,4.4
강원특별자치도,태백시,1.31065291E8,5.3,4821582.0,2.1
강원특별자치도,속초시,1.31065291E8,5.3,2.0936853E7,9.0
강원특별자치도,삼척시,1.31065291E8,5.3,1.0716335E7,4.6
강원특별자치도,홍천군,1.31065291E8,5.3,1.5089722E7,6.5
강원특별자치도,횡성군,1.31065291E8,5.3,1.2737966E7,5.4
강원특별자치도,영월군,1.31065291E8,5.3,6133085.0,2.6
강원특별자치도,평창군,1.31065291E8,5.3,1.3619837E7,5.8
강원특별자치도,정선군,1.31065291E8,5.3,6518141.0,2.8
강원특별자치도,철원군,1.31065291E8,5.3,5786882.0,2.5
강원특별자치도,화천군,1.31065291E8,5.3,4221322.0,1.8
강원특별자치도,양구군,1.31065291E8,5.3,2684574.0,1.1
강원특별자치도,인제군,1.31065291E8,5.3,8692159.0,3.7
강원특별자치도,고성군,1.31065291E8,5.3,1.1006681E7,4.7
강원특별자치도,양양군,1.31065291E8,5.3,1.5226306E7,6.5
경기도,수원시,5.48938292E8,22.2,1.48805146E8,9.5
경기도,성남시,5.48938292E8,22.2,1.2789743E8,8.2
경기도,의정부시,5.48938292E8,22.2,3.821432E7,2.4
경기도,안양시,5.48938292E8,22.2,5.9769766E7,3.8
경기도,부천시,5.48938292E8,22.2,6.5053107E7,4.2
경기도,광명시,5.48938292E8,22.2,3.44547E7,2.2
경기도,평택시,5.48938292E8,22.2,3.9725732E7,2.5
경기도,동두천시,5.48938292E8,22.2,8644496.0,0.6
경기도,안산시,5.48938292E8,22.2,7.0214806E7,4.5
경기도,고양시,5.48938292E8,22.2,1.24158832E8,7.9
경기도,과천시,5.48938292E8,22.2,1.5445101E7,1.0
경기도,구리시,5.48938292E8,22.2,4.266024E7,2.7
경기도,남양주시,5.48938292E8,22.2,6.7591898E7,4.3
경기도,오산시,5.48938292E8,22.2,2.3016822E7,1.5
경기도,시흥시,5.48938292E8,22.2,5.0713464E7,3.2
경기도,군포시,5.48938292E8,22.2,2.3720333E7,1.5
경기도,의왕시,5.48938292E8,22.2,2.4271632E7,1.6
경기도,하남시,5.48938292E8,22.2,5.1326664E7,3.3
경기도,용인시,5.48938292E8,22.2,1.12626304E8,7.2
경기도,파주시,5.48938292E8,22.2,4.7838301E7,3.1
경기도,이천시,5.48938292E8,22.2,3.4452344E7,2.2
경기도,안성시,5.48938292E8,22.2,3.2137217E7,2.1
경기도,김포시,5.48938292E8,22.2,4.8238484E7,3.1
경기도,화성시,5.48938292E8,22.2,8.6102874E7,5.5
경기도,광주시,5.48938292E8,22.2,4.5546252E7,2.9
경기도,양주시,5.48938292E8,22.2,2.9124666E7,1.9
경기도,포천시,5.48938292E8,22.2,2.6489428E7,1.7
경기도,여주시,5.48938292E8,22.2,2.4544804E7,1.6
경기도,연천군,5.48938292E8,22.2,8224069.0,0.5
경기도,가평군,5.48938292E8,22.2,2.4432415E7,1.6
경기도,양평군,5.48938292E8,22.2,3.0417184E7,1.9
경상남도,창원시,1.39194072E8,5.6,1.02635844E8,31.6
경상남도,진주시,1.39194072E8,5.6,2.0883681E7,6.4
경상남도,통영시,1.39194072E8,5.6,1.5300064E7,4.7
경상남도,사천시,1.39194072E8,5.6,1.4535552E7,4.5
경상남도,김해시,1.39194072E8,5.6,3.8236202E7,11.8
경상남도,밀양시,1.39194072E8,5.6,1.3004534E7,4.0
경상남도,거제시,1.39194072E8,5.6,2.1653608E7,6.7
경상남도,양산시,1.39194072E8,5.6,3.0216392E7,9.3
경상남도,의령군,1.39194072E8,5.6,3930798.0,1.2
경상남도,함안군,1.39194072E8,5.6,9587616.0,3.0
경상남도,창녕군,1.39194072E8,5.6,8540273.0,2.6
경상남도,고성군,1.39194072E8,5.6,8730340.0,2.7
경상남도,남해군,1.39194072E8,5.6,7842758.0,2.4
경상남도,하동군,1.39194072E8,5.6,6663352.0,2.1
경상남도,산청군,1.39194072E8,5.6,5867253.0,1.8
경상남도,함양군,1.39194072E8,5.6,4653288.0,1.4
경상남도,거창군,1.39194072E8,5.6,6083402.0,1.9
경상남도,합천군,1.39194072E8,5.6,6470580.0,2.0
경상북도,포항시,1.52541333E8,6.2,4.7456048E7,17.1
경상북도,경주시,1.52541333E8,6.2,3.5924298E7,13.0
경상북도,김천시,1.52541333E8,6.2,1.1054774E7,4.0
경상북도,안동시,1.52541333E8,6.2,1.5894109E7,5.7
경상북도,구미시,1.52541333E8,6.2,2.3135102E7,8.3
경상북도,영주시,1.52541333E8,6.2,7720580.0,2.8
경상북도,영천시,1.52541333E8,6.2,1.110691E7,4.0
경상북도,상주시,1.52541333E8,6.2,1.11832E7,4.0
경상북도,문경시,1.52541333E8,6.2,9717316.0,3.5
경상북도,경산시,1.52541333E8,6.2,2.6636446E7,9.6
경상북도,의성군,1.52541333E8,6.2,6536684.0,2.4
경상북도,청송군,1.52541333E8,6.2,4595423.0,1.7
경상북도,영양군,1.52541333E8,6.2,1612394.0,0.6
경상북도,영덕군,1.52541333E8,6.2,8976762.0,3.2
경상북도,청도군,1.52541333E8,6.2,8451978.0,3.0
경상북도,고령군,1.52541333E8,6.2,5499742.0,2.0
경상북도,성주군,1.52541333E8,6.2,6802425.0,2.5
경상북도,칠곡군,1.52541333E8,6.2,1.7135394E7,6.2
경상북도,예천군,1.52541333E8,6.2,5917751.0,2.1
경상북도,봉화군,1.52541333E8,6.2,3895594.0,1.4
경상북도,울진군,1.52541333E8,6.2,6794655.0,2.5
경상북도,울릉군,1.52541333E8,6.2,1149484.0,0.4
광주광역시,동구,5.6610108E7,2.3,2.6805504E7,16.7
광주광역시,서구,5.6610108E7,2.3,3.9483732E7,24.7
광주광역시,남구,5.6610108E7,2.3,1.8417863E7,11.5
광주광역시,북구,5.6610108E7,2.3,3.859132E7,24.1
광주광역시,광산구,5.6610108E7,2.3,3.6797686E7,23.0
대구광역시,중구,8.6201112E7,3.5,5.3600782E7,17.3
대구광역시,동구,8.6201112E7,3.5,4.6166768E7,14.9
대구광역시,서구,8.6201112E7,3.5,1.8946704E7,6.1
대구광역시,남구,8.6201112E7,3.5,2.4790042E7,8.0
대구광역시,북구,8.6201112E7,3.5,4.1958206E7,13.5
대구광역시,수성구,8.6201112E7,3.5,4.2542098E7,13.7
대구광역시,달서구,8.6201112E7,3.5,4.8267709E7,15.6
대구광역시,달성군,8.6201112E7,3.5,2.7266446E7,8.8
대구광역시,군위군,8.6201112E7,3.5,6546228.0,2.1
대전광역시,동구,6.9473159E7,2.8,3.0108547E7,16.0
대전광역시,중구,6.9473159E7,2.8,3.6520729E7,19.4
대전광역시,서구,6.9473159E7,2.8,5.0967612E7,27.0
대전광역시,유성구,6.9473159E7,2.8,4.8020514E7,25.5
대전광역시,대덕구,6.9473159E7,2.8,2.2952685E7,12.2
부산광역시,중구,1.24725884E8,5.1,3.2963074E7,6.8
부산광역시,서구,1.24725884E8,5.1,1.9346632E7,4.0
부산광역시,동구,1.24725884E8,5.1,2.4372744E7,5.0
부산광역시,영도구,1.24725884E8,5.1,1.4597278E7,3.0
부산광역시,부산진구,1.24725884E8,5.1,6.1365871E7,12.6
부산광역시,동래구,1.24725884E8,5.1,3.1873429E7,6.6
부산광역시,남구,1.24725884E8,5.1,2.7017462E7,5.6
부산광역시,북구,1.24725884E8,5.1,2.2552806E7,4.6
부산광역시,해운대구,1.24725884E8,5.1,5.6618177E7,11.7
부산광역시,사하구,1.24725884E8,5.1,2.1909594E7,4.5
부산광역시,금정구,1.24725884E8,5.1,2.5400112E7,5.2
부산광역시,강서구,1.24725884E8,5.1,2.9410304E7,6.1
부산광역시,연제구,1.24725884E8,5.1,2.4038924E7,5.0
부산광역시,수영구,1.24725884E8,5.1,3.1844323E7,6.6
부산광역시,사상구,1.24725884E8,5.1,2.4752357E7,5.1
부산광역시,기장군,1.24725884E8,5.1,3.7436508E7,7.7
서울특별시,종로구,4.83312564E8,19.6,1.03937554E8,6.3
서울특별시,중구,4.83312564E8,19.6,1.03105852E8,6.3
서울특별시,용산구,4.83312564E8,19.6,7.9804358E7,4.8
서울특별시,성동구,4.83312564E8,19.6,4.9685251E7,3.0
서울특별시,광진구,4.83312564E8,19.6,6.0037792E7,3.6
서울특별시,동대문구,4.83312564E8,19.6,4.6799344E7,2.8
서울특별시,중랑구,4.83312564E8,19.6,3.3006124E7,2.0
서울특별시,성북구,4.83312564E8,19.6,4.368043E7,2.7
서울특별시,강북구,4.83312564E8,19.6,2.8927448E7,1.8
서울특별시,도봉구,4.83312564E8,19.6,2.7829403E7,1.7
서울특별시,노원구,4.83312564E8,19.6,4.9860052E7,3.0
서울특별시,은평구,4.83312564E8,19.6,3.4115232E7,2.1
서울특별시,서대문구,4.83312564E8,19.6,6.7529168E7,4.1
서울특별시,마포구,4.83312564E8,19.6,9.572361E7,5.8
서울특별시,양천구,4.83312564E8,19.6,3.7550516E7,2.3
서울특별시,강서구,4.83312564E8,19.6,6.0056388E7,3.6
서울특별시,구로구,4.83312564E8,19.6,5.2266E7,3.2
서울특별시,금천구,4.83312564E8,19.6,2.5282204E7,1.5
서울특별시,영등포구,4.83312564E8,19.6,8.7317223E7,5.3
서울특별시,동작구,4.83312564E8,19.6,4.7944414E7,2.9
서울특별시,관악구,4.83312564E8,19.6,4.7171064E7,2.9
서울특별시,서초구,4.83312564E8,19.6,1.36644742E8,8.3
서울특별시,강남구,4.83312564E8,19.6,1.82961062E8,11.1
서울특별시,송파구,4.83312564E8,19.6,9.7293032E7,5.9
서울특별시,강동구,4.83312564E8,19.6,4.8515684E7,2.9
세종특별자치시,세종특별자치시,2.392104E7,1.0,2.5989306E7,100.0
울산광역시,중구,4.3244282E7,1.8,2.3653752E7,19.3
울산광역시,남구,4.3244282E7,1.8,3.7691916E7,30.7
울산광역시,동구,4.3244282E7,1.8,1.14907E7,9.4
울산광역시,북구,4.3244282E7,1.8,2.1067826E7,17.2
울산광역시,울주군,4.3244282E7,1.8,2.8910665E7,23.5
인천광역시,중구,1.3596653E8,5.5,4.441311E7,14.2
인천광역시,동구,1.3596653E8,5.5,8231870.0,2.6
인천광역시,미추홀구,1.3596653E8,5.5,3.9734464E7,12.7
인천광역시,연수구,1.3596653E8,5.5,3.6012088E7,11.5
인천광역시,남동구,1.3596653E8,5.5,4.8796328E7,15.6
인천광역시,부평구,1.3596653E8,5.5,4.4610786E7,14.2
인천광역시,계양구,1.3596653E8,5.5,2.5609608E7,8.2
인천광역시,서구,1.3596653E8,5.5,4.5189462E7,14.4
인천광역시,강화군,1.3596653E8,5.5,1.510951E7,4.8
인천광역시,옹진군,1.3596653E8,5.5,5734764.0,1.8
