기준년월,광역지자체,방문자 구분,방문자 수
202101,전국,외지인방문자(b),1.70470996E8
202101,전국,전체방문자(a+b),8.24546695E8
202101,전국,현지인방문자(a),6.54075698E8
202102,전국,외지인방문자(b),1.90434912E8
202102,전국,전체방문자(a+b),8.13034044E8
202102,전국,현지인방문자(a),6.22599131E8
202103,전국,외지인방문자(b),2.23568768E8
202103,전국,전체방문자(a+b),9.60705238E8
202103,전국,현지인방문자(a),7.3713647E8
202104,전국,외지인방문자(b),1.95421866E8
202104,전국,전체방문자(a+b),9.05343834E8
202104,전국,현지인방문자(a),7.09921968E8
202105,전국,외지인방문자(b),2.1716171E8
202105,전국,전체방문자(a+b),9.76772514E8
202105,전국,현지인방문자(a),7.59610803E8
202106,전국,외지인방문자(b),2.02847008E8
202106,전국,전체방문자(a+b),9.67795356E8
202106,전국,현지인방문자(a),7.64948348E8
202107,전국,외지인방문자(b),2.10120264E8
202107,전국,전체방문자(a+b),9.65408826E8
202107,전국,현지인방문자(a),7.55288562E8
202108,전국,외지인방문자(b),2.13380881E8
202108,전국,전체방문자(a+b),9.49528786E8
202108,전국,현지인방문자(a),7.36147906E8
202109,전국,외지인방문자(b),2.27871088E8
202109,전국,전체방문자(a+b),9.65614024E8
202109,전국,현지인방문자(a),7.37742936E8
202110,전국,외지인방문자(b),2.30064552E8
202110,전국,전체방문자(a+b),1.004009363E9
202110,전국,현지인방문자(a),7.73944812E8
202111,전국,외지인방문자(b),2.15443336E8
202111,전국,전체방문자(a+b),9.70154325E8
202111,전국,현지인방문자(a),7.54710988E8
202112,전국,외지인방문자(b),2.07361399E8
202112,전국,전체방문자(a+b),9.66610656E8
202112,전국,현지인방문자(a),7.59249256E8
