대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,42.4,43.6
쇼핑업,대형쇼핑몰,42.4,49.5
쇼핑업,레저용품쇼핑,42.4,5.9
쇼핑업,면세점,42.4,1.0
숙박업,기타숙박,2.1,44.3
숙박업,캠핑장/펜션,2.1,3.2
숙박업,콘도,2.1,13.1
숙박업,호텔,2.1,39.5
식음료업,일반외식업,29.2,85.5
식음료업,제과음료업,29.2,14.5
여가서비스업,골프장,3.9,58.1
여가서비스업,관광유원시설,3.9,4.1
여가서비스업,기타레저,3.9,26.7
여가서비스업,문화서비스,3.9,10.8
여가서비스업,스키장,3.9,0.3
여행업,여행업,0.1,100.0
운송업,렌터카,20.2,0.9
운송업,수상운송,20.2,0.3
운송업,육상운송,20.2,96.9
운송업,항공운송,20.2,1.8
의료웰니스업,뷰티,2.1,100.0
