대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,38.8,40.3
쇼핑업,대형쇼핑몰,38.8,51.0
쇼핑업,레저용품쇼핑,38.8,5.8
쇼핑업,면세점,38.8,2.9
숙박업,기타숙박,2.2,42.6
숙박업,캠핑장/펜션,2.2,3.2
숙박업,콘도,2.2,12.8
숙박업,호텔,2.2,41.5
식음료업,일반외식업,29.0,86.5
식음료업,제과음료업,29.0,13.5
여가서비스업,골프장,4.1,40.4
여가서비스업,관광유원시설,4.1,7.0
여가서비스업,기타레저,4.1,31.1
여가서비스업,문화서비스,4.1,21.1
여가서비스업,스키장,4.1,0.4
여행업,여행업,0.5,100.0
운송업,렌터카,23.3,0.6
운송업,수상운송,23.3,0.4
운송업,육상운송,23.3,89.7
운송업,항공운송,23.3,9.4
의료웰니스업,뷰티,2.1,100.0
