광역지자체명,광역지자체 방문자 수,광역지자체 방문자 비율
서울특별시,6.48561588E8,22.0
부산광역시,1.49672134E8,5.1
대구광역시,1.0650284E8,3.6
인천광역시,1.77054619E8,6.0
광주광역시,6.5535267E7,2.2
대전광역시,8.3144173E7,2.8
울산광역시,4.779376E7,1.6
세종특별자치시,2.5170582E7,0.9
경기도,6.55389497E8,22.2
충청북도,1.05067452E8,3.6
충청남도,1.54606564E8,5.2
전라남도,1.17585839E8,4.0
경상북도,1.72036882E8,5.8
경상남도,1.51265289E8,5.1
제주특별자치도,5.2895899E7,1.8
강원특별자치도,1.43757912E8,4.9
전북특별자치도,9.2151059E7,3.1
