기준년월,광역지자체,방문자 구분,방문자 수
201801,전국,외지인방문자(b),2.06679774E8
201801,전국,전체방문자(a+b),8.48838232E8
201801,전국,현지인방문자(a),6.42158458E8
201802,전국,외지인방문자(b),2.04776922E8
201802,전국,전체방문자(a+b),7.80403848E8
201802,전국,현지인방문자(a),5.75626926E8
201803,전국,외지인방문자(b),2.45418278E8
201803,전국,전체방문자(a+b),9.26393146E8
201803,전국,현지인방문자(a),6.80974868E8
201804,전국,외지인방문자(b),2.08064378E8
201804,전국,전체방문자(a+b),8.45367722E8
201804,전국,현지인방문자(a),6.37303345E8
201805,전국,외지인방문자(b),2.35596204E8
201805,전국,전체방문자(a+b),9.43287328E8
201805,전국,현지인방문자(a),7.07691124E8
201806,전국,외지인방문자(b),2.16116876E8
201806,전국,전체방문자(a+b),8.99366122E8
201806,전국,현지인방문자(a),6.83249245E8
201807,전국,외지인방문자(b),2.4026771E8
201807,전국,전체방문자(a+b),9.38387096E8
201807,전국,현지인방문자(a),6.98119387E8
201808,전국,외지인방문자(b),2.462619E8
201808,전국,전체방문자(a+b),9.29330636E8
201808,전국,현지인방문자(a),6.83068736E8
201809,전국,외지인방문자(b),2.64519454E8
201809,전국,전체방문자(a+b),9.40478406E8
201809,전국,현지인방문자(a),6.75958952E8
201810,전국,외지인방문자(b),2.33121312E8
201810,전국,전체방문자(a+b),9.34086366E8
201810,전국,현지인방문자(a),7.00965055E8
201811,전국,외지인방문자(b),2.12955176E8
201811,전국,전체방문자(a+b),8.73025318E8
201811,전국,현지인방문자(a),6.60070142E8
201812,전국,외지인방문자(b),2.21212803E8
201812,전국,전체방문자(a+b),9.13632304E8
201812,전국,현지인방문자(a),6.924195E8
