대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,38.3,40.0
쇼핑업,대형쇼핑몰,38.3,50.2
쇼핑업,레저용품쇼핑,38.3,6.1
쇼핑업,면세점,38.3,3.7
숙박업,기타숙박,2.2,41.2
숙박업,캠핑장/펜션,2.2,3.5
숙박업,콘도,2.2,15.1
숙박업,호텔,2.2,40.2
식음료업,일반외식업,26.1,86.8
식음료업,제과음료업,26.1,13.2
여가서비스업,골프장,4.0,38.1
여가서비스업,관광유원시설,4.0,6.9
여가서비스업,기타레저,4.0,27.6
여가서비스업,문화서비스,4.0,26.9
여가서비스업,스키장,4.0,0.5
여행업,여행업,1.2,100.0
운송업,렌터카,26.1,0.5
운송업,수상운송,26.1,0.4
운송업,육상운송,26.1,84.0
운송업,항공운송,26.1,15.2
의료웰니스업,뷰티,2.1,100.0
