광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,1.46618304E8,5.0,3.0040598E7,11.3
강원특별자치도,원주시,1.46618304E8,5.0,3.3771454E7,12.6
강원특별자치도,강릉시,1.46618304E8,5.0,3.323334E7,12.4
강원특별자치도,동해시,1.46618304E8,5.0,1.1545093E7,4.3
강원특별자치도,태백시,1.46618304E8,5.0,5337983.0,2.0
강원특별자치도,속초시,1.46618304E8,5.0,2.4779951E7,9.3
강원특별자치도,삼척시,1.46618304E8,5.0,1.1910532E7,4.5
강원특별자치도,홍천군,1.46618304E8,5.0,2.0519586E7,7.7
강원특별자치도,횡성군,1.46618304E8,5.0,1.1232728E7,4.2
강원특별자치도,영월군,1.46618304E8,5.0,7062472.0,2.6
강원특별자치도,평창군,1.46618304E8,5.0,1.7309016E7,6.5
강원특별자치도,정선군,1.46618304E8,5.0,9916344.0,3.7
강원특별자치도,철원군,1.46618304E8,5.0,6907901.0,2.6
강원특별자치도,화천군,1.46618304E8,5.0,4288592.0,1.6
강원특별자치도,양구군,1.46618304E8,5.0,2935331.0,1.1
강원특별자치도,인제군,1.46618304E8,5.0,8839316.0,3.3
강원특별자치도,고성군,1.46618304E8,5.0,1.2175709E7,4.6
강원특별자치도,양양군,1.46618304E8,5.0,1.5200412E7,5.7
경기도,수원시,6.25437908E8,21.4,1.86751684E8,10.4
경기도,성남시,6.25437908E8,21.4,1.45075186E8,8.1
경기도,의정부시,6.25437908E8,21.4,4.1805813E7,2.3
경기도,안양시,6.25437908E8,21.4,6.773311E7,3.8
경기도,부천시,6.25437908E8,21.4,1.01540782E8,5.7
경기도,광명시,6.25437908E8,21.4,3.9656071E7,2.2
경기도,평택시,6.25437908E8,21.4,4.8023528E7,2.7
경기도,동두천시,6.25437908E8,21.4,1.0106442E7,0.6
경기도,안산시,6.25437908E8,21.4,7.6701912E7,4.3
경기도,고양시,6.25437908E8,21.4,1.41307684E8,7.9
경기도,과천시,6.25437908E8,21.4,2.0885144E7,1.2
경기도,구리시,6.25437908E8,21.4,4.5593086E7,2.5
경기도,남양주시,6.25437908E8,21.4,6.9816596E7,3.9
경기도,오산시,6.25437908E8,21.4,2.979536E7,1.7
경기도,시흥시,6.25437908E8,21.4,5.4374215E7,3.0
경기도,군포시,6.25437908E8,21.4,2.5427048E7,1.4
경기도,의왕시,6.25437908E8,21.4,2.9677E7,1.7
경기도,하남시,6.25437908E8,21.4,5.4645213E7,3.1
경기도,용인시,6.25437908E8,21.4,1.35856696E8,7.6
경기도,파주시,6.25437908E8,21.4,5.1205119E7,2.9
경기도,이천시,6.25437908E8,21.4,3.5581668E7,2.0
경기도,안성시,6.25437908E8,21.4,3.451524E7,1.9
경기도,김포시,6.25437908E8,21.4,5.0313858E7,2.8
경기도,화성시,6.25437908E8,21.4,9.8212464E7,5.5
경기도,광주시,6.25437908E8,21.4,4.6568725E7,2.6
경기도,양주시,6.25437908E8,21.4,3.4287197E7,1.9
경기도,포천시,6.25437908E8,21.4,2.758762E7,1.5
경기도,여주시,6.25437908E8,21.4,2.4131278E7,1.3
경기도,연천군,6.25437908E8,21.4,9304900.0,0.5
경기도,가평군,6.25437908E8,21.4,2.598854E7,1.5
경기도,양평군,6.25437908E8,21.4,2.9045838E7,1.6
경상남도,창원시,1.57232103E8,5.4,1.12315598E8,30.9
경상남도,진주시,1.57232103E8,5.4,2.2439336E7,6.2
경상남도,통영시,1.57232103E8,5.4,1.5488764E7,4.3
경상남도,사천시,1.57232103E8,5.4,1.4876228E7,4.1
경상남도,김해시,1.57232103E8,5.4,4.4335022E7,12.2
경상남도,밀양시,1.57232103E8,5.4,1.5237348E7,4.2
경상남도,거제시,1.57232103E8,5.4,2.254174E7,6.2
경상남도,양산시,1.57232103E8,5.4,3.5162152E7,9.7
경상남도,의령군,1.57232103E8,5.4,4518941.0,1.2
경상남도,함안군,1.57232103E8,5.4,1.0880264E7,3.0
경상남도,창녕군,1.57232103E8,5.4,9870903.0,2.7
경상남도,고성군,1.57232103E8,5.4,1.074452E7,3.0
경상남도,남해군,1.57232103E8,5.4,8389745.0,2.3
경상남도,하동군,1.57232103E8,5.4,7841480.0,2.2
경상남도,산청군,1.57232103E8,5.4,7476192.0,2.1
경상남도,함양군,1.57232103E8,5.4,7568953.0,2.1
