기준년월,광역지자체,중분류,지출액(천원)
202101,전국,관광총소비,9.234697754E9
202102,전국,관광총소비,9.871930035E9
202103,전국,관광총소비,1.1311051287E10
202104,전국,관광총소비,1.1544257618E10
202105,전국,관광총소비,1.2304215667E10
202106,전국,관광총소비,1.1809689637E10
202107,전국,관광총소비,1.1776951882E10
202108,전국,관광총소비,1.1577161438E10
202109,전국,관광총소비,1.2225289493E10
202110,전국,관광총소비,1.3630593422E10
202111,전국,관광총소비,1.3279274052E10
202112,전국,관광총소비,1.2631742209E10
202101,전국,호텔,6.682432E7
202101,전국,콘도,1.9683935E7
202101,전국,기타숙박,1.58135588E8
202101,전국,여행업,1.2844333E7
202101,전국,육상운송,2.007172886E9
202101,전국,항공운송,7.2401327E7
202101,전국,렌터카,2.6284313E7
202101,전국,면세점,3.4778698E7
202101,전국,레저용품쇼핑,2.36477853E8
202101,전국,관광유원시설,8004980.0
202101,전국,골프장,8.7188662E7
202101,전국,기타레저,5.3926894E7
202101,전국,문화서비스,3.4500254E7
202101,전국,캠핑장/펜션,4714109.0
202101,전국,대형쇼핑몰,2.176180933E9
202101,전국,기타관광쇼핑,1.884081592E9
202101,전국,수상운송,4472142.0
202101,전국,뷰티,1.84411474E8
202101,전국,일반외식업,1.817609723E9
202101,전국,제과음료업,3.42791462E8
202101,전국,스키장,2212275.0
202102,전국,호텔,9.048062E7
202102,전국,콘도,2.9079361E7
202102,전국,기타숙박,1.75214948E8
202102,전국,여행업,1.5302494E7
202102,전국,육상운송,1.988768936E9
202102,전국,항공운송,9.0265979E7
202102,전국,렌터카,3.2498533E7
202102,전국,면세점,4.6072987E7
202102,전국,레저용품쇼핑,2.64085881E8
202102,전국,관광유원시설,2.033715E7
202102,전국,골프장,1.62951993E8
202102,전국,기타레저,8.1862631E7
202102,전국,문화서비스,4.4914578E7
202102,전국,캠핑장/펜션,5180944.0
202102,전국,대형쇼핑몰,2.279585372E9
202102,전국,기타관광쇼핑,1.889032871E9
202102,전국,수상운송,5647563.0
202102,전국,뷰티,1.90373584E8
202102,전국,일반외식업,2.047386128E9
202102,전국,제과음료업,4.1012831E8
202102,전국,스키장,2759173.0
202103,전국,호텔,9.2042231E7
202103,전국,콘도,2.1657488E7
202103,전국,기타숙박,1.95468137E8
202103,전국,여행업,2.0498458E7
202103,전국,육상운송,2.319994367E9
202103,전국,항공운송,1.22404674E8
202103,전국,렌터카,4.6130229E7
202103,전국,면세점,5.7656828E7
202103,전국,레저용품쇼핑,3.47494293E8
202103,전국,관광유원시설,2.1062487E7
202103,전국,골프장,2.77527456E8
202103,전국,기타레저,9.7587305E7
202103,전국,문화서비스,5.3025056E7
202103,전국,캠핑장/펜션,5440507.0
202103,전국,대형쇼핑몰,2.507631001E9
202103,전국,기타관광쇼핑,1.92669985E9
202103,전국,수상운송,6886752.0
202103,전국,뷰티,2.18045132E8
202103,전국,일반외식업,2.500839197E9
202103,전국,제과음료업,4.72896459E8
202103,전국,스키장,63379.0
202104,전국,호텔,1.0063251E8
202104,전국,콘도,3.027166E7
202104,전국,기타숙박,2.09752529E8
202104,전국,여행업,2.3198702E7
202104,전국,육상운송,2.358535083E9
202104,전국,항공운송,1.24186007E8
202104,전국,렌터카,6.0236112E7
202104,전국,면세점,6.6844127E7
202104,전국,레저용품쇼핑,3.76910914E8
202104,전국,관광유원시설,3.1721592E7
202104,전국,골프장,3.32081213E8
202104,전국,기타레저,9.4612174E7
202104,전국,문화서비스,5.2384197E7
202104,전국,캠핑장/펜션,6247265.0
202104,전국,대형쇼핑몰,2.404817254E9
202104,전국,기타관광쇼핑,1.982797747E9
202104,전국,수상운송,8891287.0
202104,전국,뷰티,2.11292125E8
202104,전국,일반외식업,2.572184409E9
202104,전국,제과음료업,4.96625499E8
202104,전국,스키장,35211.0
202105,전국,호텔,1.28217463E8
202105,전국,콘도,4.0998343E7
202105,전국,기타숙박,2.30456749E8
202105,전국,여행업,2.3621509E7
202105,전국,육상운송,2.38459473E9
202105,전국,항공운송,1.3148524E8
202105,전국,렌터카,5.5242306E7
202105,전국,면세점,6.3064833E7
202105,전국,레저용품쇼핑,3.81661263E8
202105,전국,관광유원시설,3.8199781E7
202105,전국,골프장,3.51692676E8
202105,전국,기타레저,1.1247121E8
202105,전국,문화서비스,6.6651425E7
202105,전국,캠핑장/펜션,7122137.0
202105,전국,대형쇼핑몰,2.666924814E9
202105,전국,기타관광쇼핑,2.097520039E9
202105,전국,수상운송,9717831.0
202105,전국,뷰티,2.20193936E8
202105,전국,일반외식업,2.769565877E9
202105,전국,제과음료업,5.24698807E8
202105,전국,스키장,114698.0
202106,전국,호텔,1.2056186E8
202106,전국,콘도,4.3105463E7
202106,전국,기타숙박,2.76538085E8
202106,전국,여행업,3.1321977E7
202106,전국,육상운송,2.417720159E9
202106,전국,항공운송,1.66088171E8
202106,전국,렌터카,5.7491879E7
202106,전국,면세점,5.6014171E7
202106,전국,레저용품쇼핑,3.42441114E8
202106,전국,관광유원시설,3.0515467E7
202106,전국,골프장,3.62313349E8
202106,전국,기타레저,1.098386E8
202106,전국,문화서비스,6.6909575E7
202106,전국,캠핑장/펜션,6962391.0
202106,전국,대형쇼핑몰,2.35404584E9
202106,전국,기타관광쇼핑,1.986947817E9
202106,전국,수상운송,9099467.0
202106,전국,뷰티,2.27493661E8
202106,전국,일반외식업,2.632647603E9
202106,전국,제과음료업,5.113703E8
202106,전국,스키장,262689.0
202107,전국,호텔,1.27300977E8
202107,전국,콘도,5.8450677E7
202107,전국,기타숙박,3.26947087E8
202107,전국,여행업,3.1282004E7
202107,전국,육상운송,2.545555959E9
202107,전국,항공운송,1.31616991E8
202107,전국,렌터카,5.712015E7
202107,전국,면세점,4.4074476E7
202107,전국,레저용품쇼핑,3.30902683E8
202107,전국,관광유원시설,2.1254901E7
202107,전국,골프장,3.33732457E8
202107,전국,기타레저,1.00084273E8
202107,전국,문화서비스,7.2199908E7
202107,전국,캠핑장/펜션,8221854.0
202107,전국,대형쇼핑몰,2.283228012E9
202107,전국,기타관광쇼핑,2.088496149E9
202107,전국,수상운송,8116832.0
202107,전국,뷰티,2.21762876E8
202107,전국,일반외식업,2.472120191E9
202107,전국,제과음료업,5.14175854E8
202107,전국,스키장,307572.0
202108,전국,호텔,1.33344731E8
202108,전국,콘도,6.723853E7
202108,전국,기타숙박,2.79413348E8
202108,전국,여행업,3.1297588E7
202108,전국,육상운송,2.472210729E9
202108,전국,항공운송,1.21916169E8
202108,전국,렌터카,4.8026541E7
202108,전국,면세점,5.220609E7
202108,전국,레저용품쇼핑,3.19916592E8
202108,전국,관광유원시설,2.9907364E7
202108,전국,골프장,3.14380603E8
202108,전국,기타레저,9.7885015E7
202108,전국,문화서비스,7.4358075E7
202108,전국,캠핑장/펜션,9128027.0
202108,전국,대형쇼핑몰,2.231165517E9
202108,전국,기타관광쇼핑,2.15239195E9
202108,전국,수상운송,9890793.0
202108,전국,뷰티,2.09918096E8
202108,전국,일반외식업,2.402074559E9
202108,전국,제과음료업,5.2020065E8
202108,전국,스키장,290469.0
202109,전국,호텔,1.13321817E8
202109,전국,콘도,4.0842194E7
202109,전국,기타숙박,2.29240964E8
202109,전국,여행업,3.1987774E7
202109,전국,육상운송,2.468586814E9
202109,전국,항공운송,1.30703564E8
202109,전국,렌터카,4.4834444E7
202109,전국,면세점,5.2699409E7
202109,전국,레저용품쇼핑,4.04321732E8
202109,전국,관광유원시설,3.3683096E7
202109,전국,골프장,3.4793727E8
202109,전국,기타레저,9.8260018E7
202109,전국,문화서비스,6.7255827E7
202109,전국,캠핑장/펜션,6605060.0
202109,전국,대형쇼핑몰,2.526124417E9
202109,전국,기타관광쇼핑,2.383079779E9
202109,전국,수상운송,9268650.0
202109,전국,뷰티,2.38568595E8
202109,전국,일반외식업,2.455793215E9
202109,전국,제과음료업,5.42021297E8
202109,전국,스키장,153557.0
202110,전국,호텔,1.41222371E8
202110,전국,콘도,5.056065E7
202110,전국,기타숙박,2.91089812E8
202110,전국,여행업,4.8126172E7
202110,전국,육상운송,2.71562274E9
202110,전국,항공운송,1.88495631E8
202110,전국,렌터카,5.5447853E7
202110,전국,면세점,6.9515144E7
202110,전국,레저용품쇼핑,4.71765574E8
202110,전국,관광유원시설,4.9606694E7
202110,전국,골프장,4.02259934E8
202110,전국,기타레저,1.16170172E8
202110,전국,문화서비스,8.1701494E7
202110,전국,캠핑장/펜션,8283741.0
202110,전국,대형쇼핑몰,2.959716808E9
202110,전국,기타관광쇼핑,2.196130708E9
202110,전국,수상운송,1.1984008E7
202110,전국,뷰티,2.37379304E8
202110,전국,일반외식업,2.961120735E9
202110,전국,제과음료업,5.74140825E8
202110,전국,스키장,253053.0
202111,전국,호텔,1.36198783E8
202111,전국,콘도,4.0642394E7
202111,전국,기타숙박,2.75779828E8
202111,전국,여행업,5.7210484E7
202111,전국,육상운송,2.795991352E9
202111,전국,항공운송,2.32188845E8
202111,전국,렌터카,5.290175E7
202111,전국,면세점,7.2792308E7
202111,전국,레저용품쇼핑,4.69951601E8
202111,전국,관광유원시설,3.278383E7
202111,전국,골프장,3.24279346E8
202111,전국,기타레저,1.34388466E8
202111,전국,문화서비스,8.190682E7
202111,전국,캠핑장/펜션,7256877.0
202111,전국,대형쇼핑몰,2.732667166E9
202111,전국,기타관광쇼핑,2.037983442E9
202111,전국,수상운송,8886876.0
202111,전국,뷰티,2.2750485E8
202111,전국,일반외식업,3.031098346E9
202111,전국,제과음료업,5.26732553E8
202111,전국,스키장,128134.0
202112,전국,호텔,1.56685949E8
202112,전국,콘도,4.9137595E7
202112,전국,기타숙박,2.7142653E8
202112,전국,여행업,3.7259177E7
202112,전국,육상운송,2.658062659E9
202112,전국,항공운송,1.53266418E8
202112,전국,렌터카,4.6169128E7
202112,전국,면세점,6.3854582E7
202112,전국,레저용품쇼핑,4.03359295E8
202112,전국,관광유원시설,2.4736321E7
202112,전국,골프장,1.9019878E8
202112,전국,기타레저,1.03125212E8
202112,전국,문화서비스,8.6724073E7
202112,전국,캠핑장/펜션,6401170.0
202112,전국,대형쇼핑몰,2.791670193E9
202112,전국,기타관광쇼핑,2.078589765E9
202112,전국,수상운송,6122803.0
202112,전국,뷰티,2.36870189E8
202112,전국,일반외식업,2.735861434E9
202112,전국,제과음료업,5.27650258E8
202112,전국,스키장,4570677.0
