기준년월,광역지자체,중분류,지출액(천원)
202201,전국,관광총소비,1.2384084468E10
202202,전국,관광총소비,9.856367402E9
202203,전국,관광총소비,1.2029765436E10
202204,전국,관광총소비,1.4006422958E10
202205,전국,관광총소비,1.5709053469E10
202206,전국,관광총소비,1.4499837901E10
202207,전국,관광총소비,1.5324142343E10
202208,전국,관광총소비,1.4819934176E10
202209,전국,관광총소비,1.4419780846E10
202210,전국,관광총소비,1.6157130192E10
202211,전국,관광총소비,1.455772237E10
202212,전국,관광총소비,1.5239741935E10
202201,전국,호텔,1.42110602E8
202201,전국,콘도,6.5141093E7
202201,전국,기타숙박,2.71217256E8
202201,전국,여행업,3.841986E7
202201,전국,육상운송,2.522393136E9
202201,전국,항공운송,1.89326051E8
202201,전국,렌터카,4.8699941E7
202201,전국,면세점,6.4816376E7
202201,전국,레저용품쇼핑,3.45560334E8
202201,전국,관광유원시설,2.3972272E7
202201,전국,골프장,1.34807703E8
202201,전국,기타레저,8.8566914E7
202201,전국,문화서비스,7.6219481E7
202201,전국,캠핑장/펜션,6160237.0
202201,전국,대형쇼핑몰,2.769190321E9
202201,전국,기타관광쇼핑,2.309346966E9
202201,전국,수상운송,7947232.0
202201,전국,뷰티,2.22203989E8
202201,전국,일반외식업,2.525320931E9
202201,전국,제과음료업,5.2204127E8
202201,전국,스키장,1.0622501E7
202202,전국,호텔,1.17456837E8
202202,전국,콘도,4.8005605E7
202202,전국,기타숙박,2.27652319E8
202202,전국,여행업,3.3840273E7
202202,전국,육상운송,2.133742475E9
202202,전국,항공운송,1.49857256E8
202202,전국,렌터카,4.3078407E7
202202,전국,면세점,5.4504621E7
202202,전국,레저용품쇼핑,2.79269248E8
202202,전국,관광유원시설,1.9773577E7
202202,전국,골프장,1.58815065E8
202202,전국,기타레저,7.4069294E7
202202,전국,문화서비스,6.0291177E7
202202,전국,캠핑장/펜션,5242942.0
202202,전국,대형쇼핑몰,2.176987139E9
202202,전국,기타관광쇼핑,1.640365879E9
202202,전국,수상운송,6565735.0
202202,전국,뷰티,1.83059518E8
202202,전국,일반외식업,2.010407421E9
202202,전국,제과음료업,4.26405062E8
202202,전국,스키장,6977552.0
202203,전국,호텔,1.06695982E8
202203,전국,콘도,2.4153242E7
202203,전국,기타숙박,2.42836862E8
202203,전국,여행업,5.5277317E7
202203,전국,육상운송,2.633570732E9
202203,전국,항공운송,2.7225095E8
202203,전국,렌터카,4.9382427E7
202203,전국,면세점,5.9381166E7
202203,전국,레저용품쇼핑,4.01664955E8
202203,전국,관광유원시설,2.1665402E7
202203,전국,골프장,2.9717888E8
202203,전국,기타레저,9.5579076E7
202203,전국,문화서비스,6.4110914E7
202203,전국,캠핑장/펜션,5426596.0
202203,전국,대형쇼핑몰,2.526120602E9
202203,전국,기타관광쇼핑,1.972596822E9
202203,전국,수상운송,7546811.0
202203,전국,뷰티,2.22047055E8
202203,전국,일반외식업,2.479395705E9
202203,전국,제과음료업,4.92706923E8
202203,전국,스키장,177018.0
202204,전국,호텔,1.38309636E8
202204,전국,콘도,3.8362948E7
202204,전국,기타숙박,2.88489757E8
202204,전국,여행업,8.4485883E7
202204,전국,육상운송,2.934771788E9
202204,전국,항공운송,3.72193086E8
202204,전국,렌터카,6.1687158E7
202204,전국,면세점,7.7877776E7
202204,전국,레저용품쇼핑,4.46186956E8
202204,전국,관광유원시설,5.6831476E7
202204,전국,골프장,3.87463508E8
202204,전국,기타레저,1.30731294E8
202204,전국,문화서비스,8.3555374E7
202204,전국,캠핑장/펜션,7191545.0
202204,전국,대형쇼핑몰,2.729251605E9
202204,전국,기타관광쇼핑,2.121486577E9
202204,전국,수상운송,1.1213024E7
202204,전국,뷰티,2.38926103E8
202204,전국,일반외식업,3.199559425E9
202204,전국,제과음료업,5.97725633E8
202204,전국,스키장,122407.0
202205,전국,호텔,1.63993423E8
202205,전국,콘도,5.3306133E7
202205,전국,기타숙박,3.15224438E8
202205,전국,여행업,1.30366148E8
202205,전국,육상운송,3.202444134E9
202205,전국,항공운송,4.3106651E8
202205,전국,렌터카,6.7001555E7
202205,전국,면세점,8.6206557E7
202205,전국,레저용품쇼핑,5.03059111E8
202205,전국,관광유원시설,6.9748481E7
202205,전국,골프장,4.43119902E8
202205,전국,기타레저,1.62669579E8
202205,전국,문화서비스,1.57080163E8
202205,전국,캠핑장/펜션,8320635.0
202205,전국,대형쇼핑몰,2.919207732E9
202205,전국,기타관광쇼핑,2.305335964E9
202205,전국,수상운송,1.217815E7
202205,전국,뷰티,2.56445933E8
202205,전국,일반외식업,3.756620892E9
202205,전국,제과음료업,6.65170769E8
202205,전국,스키장,487260.0
202206,전국,호텔,1.52212846E8
202206,전국,콘도,5.6370786E7
202206,전국,기타숙박,3.49734188E8
202206,전국,여행업,1.50518765E8
202206,전국,육상운송,3.055005506E9
202206,전국,항공운송,4.14702445E8
202206,전국,렌터카,6.1232084E7
202206,전국,면세점,8.8113541E7
202206,전국,레저용품쇼핑,3.97479371E8
202206,전국,관광유원시설,4.8990114E7
202206,전국,골프장,3.97978084E8
202206,전국,기타레저,1.57668571E8
202206,전국,문화서비스,1.61693203E8
202206,전국,캠핑장/펜션,8289989.0
202206,전국,대형쇼핑몰,2.579236585E9
202206,전국,기타관광쇼핑,2.13000347E9
202206,전국,수상운송,1.0337782E7
202206,전국,뷰티,2.54818243E8
202206,전국,일반외식업,3.413176744E9
202206,전국,제과음료업,6.1162408E8
202206,전국,스키장,651504.0
202207,전국,호텔,1.83102685E8
202207,전국,콘도,8.6797814E7
202207,전국,기타숙박,4.14645647E8
202207,전국,여행업,1.56398072E8
202207,전국,육상운송,3.321014916E9
202207,전국,항공운송,3.57040007E8
202207,전국,렌터카,6.3085847E7
202207,전국,면세점,9.1219581E7
202207,전국,레저용품쇼핑,3.66986548E8
202207,전국,관광유원시설,5.9651071E7
202207,전국,골프장,3.77162328E8
202207,전국,기타레저,1.67865286E8
202207,전국,문화서비스,1.65508161E8
202207,전국,캠핑장/펜션,9906728.0
