대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,39.1,42.9
쇼핑업,대형쇼핑몰,39.1,50.3
쇼핑업,레저용품쇼핑,39.1,4.8
쇼핑업,면세점,39.1,2.1
숙박업,기타숙박,2.2,36.8
숙박업,캠핑장/펜션,2.2,2.3
숙박업,콘도,2.2,13.9
숙박업,호텔,2.2,47.0
식음료업,일반외식업,31.3,84.4
식음료업,제과음료업,31.3,15.6
여가서비스업,골프장,4.2,52.2
여가서비스업,관광유원시설,4.2,7.0
여가서비스업,기타레저,4.2,25.8
여가서비스업,문화서비스,4.2,14.6
여가서비스업,스키장,4.2,0.3
여행업,여행업,0.2,100.0
운송업,렌터카,20.9,0.9
운송업,수상운송,20.9,0.3
운송업,육상운송,20.9,86.7
운송업,항공운송,20.9,12.2
의료웰니스업,뷰티,2.1,100.0
