광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,1.53264262E8,5.5,3.2374272E7,12.0
강원특별자치도,원주시,1.53264262E8,5.5,3.1587332E7,11.7
강원특별자치도,강릉시,1.53264262E8,5.5,3.5738924E7,13.2
강원특별자치도,동해시,1.53264262E8,5.5,1.1991497E7,4.4
강원특별자치도,태백시,1.53264262E8,5.5,5306826.0,2.0
강원특별자치도,속초시,1.53264262E8,5.5,2.5029277E7,9.3
강원특별자치도,삼척시,1.53264262E8,5.5,1.1743865E7,4.3
강원특별자치도,홍천군,1.53264262E8,5.5,1.7450324E7,6.5
강원특별자치도,횡성군,1.53264262E8,5.5,1.2894749E7,4.8
강원특별자치도,영월군,1.53264262E8,5.5,6950468.0,2.6
강원특별자치도,평창군,1.53264262E8,5.5,1.701811E7,6.3
강원특별자치도,정선군,1.53264262E8,5.5,8999826.0,3.3
강원특별자치도,철원군,1.53264262E8,5.5,7145516.0,2.6
강원특별자치도,화천군,1.53264262E8,5.5,4250925.0,1.6
강원특별자치도,양구군,1.53264262E8,5.5,2856844.0,1.1
강원특별자치도,인제군,1.53264262E8,5.5,9276813.0,3.4
강원특별자치도,고성군,1.53264262E8,5.5,1.3087123E7,4.8
강원특별자치도,양양군,1.53264262E8,5.5,1.6817423E7,6.2
경기도,수원시,6.02401426E8,21.5,1.66874362E8,9.7
경기도,성남시,6.02401426E8,21.5,1.37943533E8,8.0
경기도,의정부시,6.02401426E8,21.5,4.1547597E7,2.4
경기도,안양시,6.02401426E8,21.5,6.2729884E7,3.6
경기도,부천시,6.02401426E8,21.5,6.9934991E7,4.1
경기도,광명시,6.02401426E8,21.5,4.0036734E7,2.3
경기도,평택시,6.02401426E8,21.5,4.6978092E7,2.7
경기도,동두천시,6.02401426E8,21.5,9451393.0,0.5
경기도,안산시,6.02401426E8,21.5,7.1387418E7,4.1
경기도,고양시,6.02401426E8,21.5,1.34036105E8,7.8
경기도,과천시,6.02401426E8,21.5,2.0177346E7,1.2
경기도,구리시,6.02401426E8,21.5,4.4786662E7,2.6
경기도,남양주시,6.02401426E8,21.5,7.2639938E7,4.2
경기도,오산시,6.02401426E8,21.5,2.8633798E7,1.7
경기도,시흥시,6.02401426E8,21.5,5.303684E7,3.1
경기도,군포시,6.02401426E8,21.5,2.5552342E7,1.5
경기도,의왕시,6.02401426E8,21.5,2.8591924E7,1.7
경기도,하남시,6.02401426E8,21.5,5.6629573E7,3.3
경기도,용인시,6.02401426E8,21.5,1.26756396E8,7.3
경기도,파주시,6.02401426E8,21.5,5.42187E7,3.1
경기도,이천시,6.02401426E8,21.5,4.0014681E7,2.3
경기도,안성시,6.02401426E8,21.5,3.711218E7,2.2
경기도,김포시,6.02401426E8,21.5,5.0923758E7,3.0
경기도,화성시,6.02401426E8,21.5,9.7596646E7,5.7
경기도,광주시,6.02401426E8,21.5,4.7000898E7,2.7
경기도,양주시,6.02401426E8,21.5,3.312497E7,1.9
경기도,포천시,6.02401426E8,21.5,3.0215612E7,1.8
경기도,여주시,6.02401426E8,21.5,2.6133866E7,1.5
경기도,연천군,6.02401426E8,21.5,9014352.0,0.5
경기도,가평군,6.02401426E8,21.5,2.9013778E7,1.7
경기도,양평군,6.02401426E8,21.5,3.3001521E7,1.9
경상남도,창원시,1.49980943E8,5.4,1.07537818E8,30.4
경상남도,진주시,1.49980943E8,5.4,2.2405628E7,6.3
경상남도,통영시,1.49980943E8,5.4,1.5945178E7,4.5
경상남도,사천시,1.49980943E8,5.4,1.5961876E7,4.5
경상남도,김해시,1.49980943E8,5.4,4.3069344E7,12.2
경상남도,밀양시,1.49980943E8,5.4,1.5074185E7,4.3
경상남도,거제시,1.49980943E8,5.4,2.3112464E7,6.5
경상남도,양산시,1.49980943E8,5.4,3.308591E7,9.4
경상남도,의령군,1.49980943E8,5.4,4224196.0,1.2
경상남도,함안군,1.49980943E8,5.4,1.0853482E7,3.1
