광역지자체명,광역지자체 방문자 수,광역지자체 방문자 비율
서울특별시,5.56130988E8,19.9
부산광역시,1.38010708E8,4.9
대구광역시,9.8772936E7,3.5
인천광역시,1.54843507E8,5.5
광주광역시,6.3615948E7,2.3
대전광역시,7.5608788E7,2.7
울산광역시,4.6681992E7,1.7
세종특별자치시,2.6820882E7,1.0
경기도,6.02401426E8,21.5
충청북도,1.07613782E8,3.8
충청남도,1.57650633E8,5.6
전라남도,1.26800233E8,4.5
경상북도,1.7734326E8,6.3
경상남도,1.49980943E8,5.4
제주특별자치도,6.8144188E7,2.4
강원특별자치도,1.53264262E8,5.5
전북특별자치도,9.4403148E7,3.4
