광역지자체명,광역지자체 방문자 수,광역지자체 방문자 비율
서울특별시,4.83312564E8,19.6
부산광역시,1.24725884E8,5.1
대구광역시,8.6201112E7,3.5
인천광역시,1.3596653E8,5.5
광주광역시,5.6610108E7,2.3
대전광역시,6.9473159E7,2.8
울산광역시,4.3244282E7,1.8
세종특별자치시,2.392104E7,1.0
경기도,5.48938292E8,22.2
충청북도,9.3383798E7,3.8
충청남도,1.38428948E8,5.6
전라남도,1.10317383E8,4.5
경상북도,1.52541333E8,6.2
경상남도,1.39194072E8,5.6
제주특별자치도,4.618316E7,1.9
강원특별자치도,1.31065291E8,5.3
전북특별자치도,8.3792698E7,3.4
