광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,1.43757912E8,4.9,2.9784122E7,12.0
강원특별자치도,원주시,1.43757912E8,4.9,3.0466306E7,12.3
강원특별자치도,강릉시,1.43757912E8,4.9,3.213792E7,13.0
강원특별자치도,동해시,1.43757912E8,4.9,1.0696844E7,4.3
강원특별자치도,태백시,1.43757912E8,4.9,5272134.0,2.1
강원특별자치도,속초시,1.43757912E8,4.9,2.1060193E7,8.5
강원특별자치도,삼척시,1.43757912E8,4.9,1.1322878E7,4.6
강원특별자치도,홍천군,1.43757912E8,4.9,1.5576054E7,6.3
강원특별자치도,횡성군,1.43757912E8,4.9,1.3832812E7,5.6
강원특별자치도,영월군,1.43757912E8,4.9,6157910.0,2.5
강원특별자치도,평창군,1.43757912E8,4.9,1.4051832E7,5.7
강원특별자치도,정선군,1.43757912E8,4.9,8981256.0,3.6
강원특별자치도,철원군,1.43757912E8,4.9,6377332.0,2.6
강원특별자치도,화천군,1.43757912E8,4.9,4861115.0,2.0
강원특별자치도,양구군,1.43757912E8,4.9,3338486.0,1.3
강원특별자치도,인제군,1.43757912E8,4.9,9502668.0,3.8
강원특별자치도,고성군,1.43757912E8,4.9,1.0441067E7,4.2
강원특별자치도,양양군,1.43757912E8,4.9,1.3805488E7,5.6
경기도,수원시,6.55389497E8,22.2,1.69955334E8,10.1
경기도,성남시,6.55389497E8,22.2,1.4682396E8,8.7
경기도,의정부시,6.55389497E8,22.2,4.2947376E7,2.5
경기도,안양시,6.55389497E8,22.2,7.2416652E7,4.3
경기도,부천시,6.55389497E8,22.2,7.8957372E7,4.7
경기도,광명시,6.55389497E8,22.2,3.970932E7,2.4
경기도,평택시,6.55389497E8,22.2,4.2319914E7,2.5
경기도,동두천시,6.55389497E8,22.2,9651537.0,0.6
경기도,안산시,6.55389497E8,22.2,7.4544484E7,4.4
경기도,고양시,6.55389497E8,22.2,1.34854114E8,8.0
경기도,과천시,6.55389497E8,22.2,1.9534588E7,1.2
경기도,구리시,6.55389497E8,22.2,4.0801537E7,2.4
경기도,남양주시,6.55389497E8,22.2,6.6050092E7,3.9
경기도,오산시,6.55389497E8,22.2,2.655239E7,1.6
경기도,시흥시,6.55389497E8,22.2,5.1582153E7,3.1
경기도,군포시,6.55389497E8,22.2,2.6623804E7,1.6
경기도,의왕시,6.55389497E8,22.2,2.4520146E7,1.5
경기도,하남시,6.55389497E8,22.2,4.8312614E7,2.9
경기도,용인시,6.55389497E8,22.2,1.26731014E8,7.5
경기도,파주시,6.55389497E8,22.2,4.7375111E7,2.8
경기도,이천시,6.55389497E8,22.2,3.7584004E7,2.2
