기준년월,광역지자체,중분류,지출액(천원)
202501,전국,관광총소비,1.4189500554E10
202502,전국,관광총소비,1.2602526019E10
202503,전국,관광총소비,1.4544020427E10
202504,전국,관광총소비,1.3917494364E10
202505,전국,관광총소비,1.5655951457E10
202506,전국,관광총소비,1.3974168923E10
202507,전국,관광총소비,1.4899034402E10
202508,전국,관광총소비,1.5229041149E10
202509,전국,관광총소비,1.4241971854E10
202510,전국,관광총소비,1.5817606235E10
202511,전국,관광총소비,1.5405325819E10
202512,전국,관광총소비,1.5775367781E10
202501,전국,호텔,1.58230245E8
202501,전국,콘도,6.5262226E7
202501,전국,캠핑장/펜션,6331985.0
202501,전국,기타숙박,2.24547171E8
202501,전국,여행업,3.06884003E8
202501,전국,육상운송,2.582164213E9
202501,전국,항공운송,7.74161983E8
202501,전국,렌터카,5.4635556E7
202501,전국,면세점,1.56602985E8
202501,전국,레저용품쇼핑,2.66310323E8
202501,전국,관광유원시설,3.0742419E7
202501,전국,골프장,9.1006884E7
202501,전국,기타레저,1.46258054E8
202501,전국,문화서비스,1.24082034E8
202501,전국,대형쇼핑몰,2.733636363E9
202501,전국,기타관광쇼핑,2.30151588E9
202501,전국,수상운송,6479500.0
202501,전국,뷰티,2.66214527E8
202501,전국,일반외식업,3.281011849E9
202501,전국,제과음료업,6.04983574E8
202501,전국,스키장,8438781.0
202502,전국,호텔,1.34040729E8
202502,전국,콘도,4.2708745E7
202502,전국,캠핑장/펜션,6219441.0
202502,전국,기타숙박,2.15297592E8
202502,전국,여행업,2.98063865E8
202502,전국,육상운송,2.498433698E9
202502,전국,항공운송,6.5159081E8
202502,전국,렌터카,5.1444314E7
202502,전국,면세점,1.41732865E8
202502,전국,레저용품쇼핑,2.81361661E8
202502,전국,관광유원시설,3.0856984E7
202502,전국,골프장,1.02050023E8
202502,전국,기타레저,1.32004939E8
202502,전국,문화서비스,1.15356832E8
202502,전국,대형쇼핑몰,2.241152323E9
202502,전국,기타관광쇼핑,1.822720812E9
202502,전국,수상운송,5450691.0
202502,전국,뷰티,2.59656966E8
202502,전국,일반외식업,3.01387842E9
202502,전국,제과음료업,5.52904915E8
202502,전국,스키장,5599393.0
202503,전국,호텔,1.2777782E8
202503,전국,콘도,2.3399382E7
202503,전국,캠핑장/펜션,8310764.0
202503,전국,기타숙박,2.29428281E8
202503,전국,여행업,2.84813786E8
202503,전국,육상운송,2.669878369E9
202503,전국,항공운송,6.29165927E8
202503,전국,렌터카,6.0270863E7
202503,전국,면세점,1.59037164E8
202503,전국,레저용품쇼핑,3.40137257E8
202503,전국,관광유원시설,3.9117399E7
202503,전국,골프장,2.71881023E8
202503,전국,기타레저,1.45671489E8
202503,전국,문화서비스,1.31718243E8
202503,전국,대형쇼핑몰,2.697322318E9
202503,전국,기타관광쇼핑,2.180894355E9
202503,전국,수상운송,7531739.0
202503,전국,뷰티,3.05302077E8
202503,전국,일반외식업,3.572791252E9
202503,전국,제과음료업,6.59072037E8
202503,전국,스키장,498881.0
202504,전국,호텔,1.22437526E8
202504,전국,콘도,2.6918887E7
202504,전국,캠핑장/펜션,9081223.0
202504,전국,기타숙박,2.27673712E8
202504,전국,여행업,2.86602131E8
202504,전국,육상운송,2.620748209E9
202504,전국,항공운송,5.63205325E8
202504,전국,렌터카,6.1778002E7
202504,전국,면세점,1.53059889E8
202504,전국,레저용품쇼핑,3.54091631E8
202504,전국,관광유원시설,4.9347712E7
202504,전국,골프장,3.36492703E8
202504,전국,기타레저,1.33464385E8
202504,전국,문화서비스,1.35331275E8
202504,전국,대형쇼핑몰,2.336009686E9
202504,전국,기타관광쇼핑,2.133688502E9
202504,전국,수상운송,1.0126011E7
202504,전국,뷰티,2.67839043E8
202504,전국,일반외식업,3.438503832E9
202504,전국,제과음료업,6.51011439E8
202504,전국,스키장,83238.0
202505,전국,호텔,1.56127442E8
202505,전국,콘도,3.7024801E7
202505,전국,캠핑장/펜션,1.0911637E7
202505,전국,기타숙박,2.52142777E8
202505,전국,여행업,2.6174459E8
202505,전국,육상운송,2.713987304E9
202505,전국,항공운송,5.82971323E8
202505,전국,렌터카,6.4631929E7
202505,전국,면세점,1.94734793E8
202505,전국,레저용품쇼핑,4.21412211E8
202505,전국,관광유원시설,5.8126592E7
202505,전국,골프장,3.99737672E8
202505,전국,기타레저,1.60772486E8
202505,전국,문화서비스,1.66372622E8
202505,전국,대형쇼핑몰,2.763516301E9
202505,전국,기타관광쇼핑,2.380347456E9
202505,전국,수상운송,1.152115E7
202505,전국,뷰티,3.01504374E8
202505,전국,일반외식업,3.98279655E9
202505,전국,제과음료업,7.35300117E8
202505,전국,스키장,267329.0
202506,전국,호텔,1.33085152E8
202506,전국,콘도,3.8769309E7
202506,전국,캠핑장/펜션,9744541.0
202506,전국,기타숙박,2.41117599E8
202506,전국,여행업,2.4359103E8
202506,전국,육상운송,2.511616699E9
202506,전국,항공운송,5.28099015E8
202506,전국,렌터카,6.352145E7
202506,전국,면세점,1.47988702E8
202506,전국,레저용품쇼핑,3.36228404E8
202506,전국,관광유원시설,4.16754E7
202506,전국,골프장,3.71432509E8
202506,전국,기타레저,1.48071241E8
202506,전국,문화서비스,1.42186177E8
202506,전국,대형쇼핑몰,2.48434509E9
202506,전국,기타관광쇼핑,2.125717171E9
202506,전국,수상운송,8927711.0
202506,전국,뷰티,2.80466775E8
202506,전국,일반외식업,3.454481623E9
202506,전국,제과음료업,6.62745149E8
202506,전국,스키장,358175.0
202507,전국,호텔,1.52107687E8
202507,전국,콘도,6.3823108E7
202507,전국,캠핑장/펜션,1.0486075E7
202507,전국,기타숙박,3.04085728E8
202507,전국,여행업,2.98127135E8
202507,전국,육상운송,2.840755799E9
202507,전국,항공운송,5.93676508E8
202507,전국,렌터카,7.9707792E7
202507,전국,면세점,1.72846355E8
202507,전국,레저용품쇼핑,3.26618721E8
202507,전국,관광유원시설,4.6832501E7
202507,전국,골프장,2.92326661E8
202507,전국,기타레저,1.57589438E8
202507,전국,문화서비스,1.62413268E8
202507,전국,대형쇼핑몰,2.447848626E9
202507,전국,기타관광쇼핑,2.254139699E9
202507,전국,수상운송,8649066.0
202507,전국,뷰티,3.00111461E8
202507,전국,일반외식업,3.680235469E9
202507,전국,제과음료업,7.06059645E8
202507,전국,스키장,593659.0
202508,전국,호텔,1.74195025E8
202508,전국,콘도,7.5293678E7
202508,전국,캠핑장/펜션,1.519719E7
202508,전국,기타숙박,2.87627009E8
202508,전국,여행업,2.75915154E8
202508,전국,육상운송,2.811752538E9
202508,전국,항공운송,4.93998785E8
202508,전국,렌터카,7.4518101E7
202508,전국,면세점,1.67828075E8
202508,전국,레저용품쇼핑,3.16071381E8
202508,전국,관광유원시설,5.967709E7
202508,전국,골프장,2.97162842E8
202508,전국,기타레저,1.75449603E8
202508,전국,문화서비스,1.66863733E8
202508,전국,대형쇼핑몰,2.45323943E9
202508,전국,기타관광쇼핑,2.368915041E9
202508,전국,수상운송,1.0101585E7
202508,전국,뷰티,3.20041978E8
202508,전국,일반외식업,3.93021628E9
202508,전국,제과음료업,7.54169009E8
202508,전국,스키장,807624.0
202509,전국,호텔,1.34998572E8
202509,전국,콘도,3.2464848E7
202509,전국,캠핑장/펜션,1.1905713E7
202509,전국,기타숙박,2.54458171E8
202509,전국,여행업,3.71445824E8
202509,전국,육상운송,2.734056341E9
202509,전국,항공운송,4.80586732E8
202509,전국,렌터카,6.7454467E7
202509,전국,면세점,1.54844663E8
202509,전국,레저용품쇼핑,3.14432704E8
202509,전국,관광유원시설,3.9892482E7
202509,전국,골프장,3.26616198E8
202509,전국,기타레저,1.3599692E8
202509,전국,문화서비스,1.36107352E8
202509,전국,대형쇼핑몰,2.424277486E9
202509,전국,기타관광쇼핑,2.292734008E9
202509,전국,수상운송,8338643.0
202509,전국,뷰티,2.81899292E8
202509,전국,일반외식업,3.394189866E9
202509,전국,제과음료업,6.45084878E8
202509,전국,스키장,186695.0
202510,전국,호텔,1.59055788E8
202510,전국,콘도,4.4084729E7
202510,전국,캠핑장/펜션,1.270467E7
202510,전국,기타숙박,2.62081512E8
