기준년월,광역지자체,방문자 구분,방문자 수
202401,전국,외지인방문자(b),2.27943286E8
202401,전국,전체방문자(a+b),9.92725584E8
202401,전국,현지인방문자(a),7.64782298E8
202402,전국,외지인방문자(b),2.40529296E8
202402,전국,전체방문자(a+b),9.41657972E8
202402,전국,현지인방문자(a),7.01128676E8
202403,전국,외지인방문자(b),2.69319732E8
202403,전국,전체방문자(a+b),1.051182314E9
202403,전국,현지인방문자(a),7.81862582E8
202404,전국,외지인방문자(b),2.25849704E8
202404,전국,전체방문자(a+b),9.75574386E8
202404,전국,현지인방문자(a),7.49724682E8
202405,전국,외지인방문자(b),2.49494948E8
202405,전국,전체방문자(a+b),1.034630362E9
202405,전국,현지인방문자(a),7.85135414E8
202406,전국,외지인방문자(b),2.3462368E8
202406,전국,전체방문자(a+b),9.91520159E8
202406,전국,현지인방문자(a),7.5689648E8
202407,전국,외지인방문자(b),2.41569724E8
202407,전국,전체방문자(a+b),1.013201168E9
202407,전국,현지인방문자(a),7.71631444E8
202408,전국,외지인방문자(b),2.59614142E8
202408,전국,전체방문자(a+b),1.016481966E9
202408,전국,현지인방문자(a),7.56867825E8
202409,전국,외지인방문자(b),2.61619505E8
202409,전국,전체방문자(a+b),1.006327E9
202409,전국,현지인방문자(a),7.44707495E8
202410,전국,외지인방문자(b),2.5203507E8
202410,전국,전체방문자(a+b),1.04726069E9
202410,전국,현지인방문자(a),7.9522562E8
202411,전국,외지인방문자(b),2.32806864E8
202411,전국,전체방문자(a+b),1.007161582E9
202411,전국,현지인방문자(a),7.74354718E8
202412,전국,외지인방문자(b),2.31543414E8
202412,전국,전체방문자(a+b),1.0212816E9
202412,전국,현지인방문자(a),7.89738187E8
