기준년월,광역지자체,방문자 구분,방문자 수
202001,전국,외지인방문자(b),2.4372011E8
202001,전국,전체방문자(a+b),9.43069908E8
202001,전국,현지인방문자(a),6.99349798E8
202002,전국,외지인방문자(b),1.78532532E8
202002,전국,전체방문자(a+b),8.25522498E8
202002,전국,현지인방문자(a),6.46989966E8
202003,전국,외지인방문자(b),1.77028078E8
202003,전국,전체방문자(a+b),8.25791925E8
202003,전국,현지인방문자(a),6.48763846E8
202004,전국,외지인방문자(b),1.84990225E8
202004,전국,전체방문자(a+b),8.33049774E8
202004,전국,현지인방문자(a),6.48059548E8
202005,전국,외지인방문자(b),2.21231266E8
202005,전국,전체방문자(a+b),9.23599246E8
202005,전국,현지인방문자(a),7.02367981E8
202006,전국,외지인방문자(b),2.02162544E8
202006,전국,전체방문자(a+b),9.0476156E8
202006,전국,현지인방문자(a),7.02599016E8
202007,전국,외지인방문자(b),2.24372743E8
202007,전국,전체방문자(a+b),9.44921271E8
202007,전국,현지인방문자(a),7.20548528E8
202008,전국,외지인방문자(b),2.23302482E8
202008,전국,전체방문자(a+b),9.12363232E8
202008,전국,현지인방문자(a),6.8906075E8
202009,전국,외지인방문자(b),1.97179504E8
202009,전국,전체방문자(a+b),8.88366087E8
202009,전국,현지인방문자(a),6.91186584E8
202010,전국,외지인방문자(b),2.3523288E8
202010,전국,전체방문자(a+b),9.47665342E8
202010,전국,현지인방문자(a),7.12432462E8
202011,전국,외지인방문자(b),2.03589538E8
202011,전국,전체방문자(a+b),9.07055644E8
202011,전국,현지인방문자(a),7.03466106E8
202012,전국,외지인방문자(b),1.75957754E8
202012,전국,전체방문자(a+b),8.42931162E8
202012,전국,현지인방문자(a),6.66973408E8
