기준년월,광역지자체,방문자 구분,방문자 수
202201,전국,외지인방문자(b),2.17201618E8
202201,전국,전체방문자(a+b),9.45794955E8
202201,전국,현지인방문자(a),7.28593338E8
202202,전국,외지인방문자(b),1.83106732E8
202202,전국,전체방문자(a+b),8.38495382E8
202202,전국,현지인방문자(a),6.5538865E8
202203,전국,외지인방문자(b),2.18460697E8
202203,전국,전체방문자(a+b),9.70266812E8
202203,전국,현지인방문자(a),7.51806114E8
202204,전국,외지인방문자(b),2.2501795E8
202204,전국,전체방문자(a+b),9.76369936E8
202204,전국,현지인방문자(a),7.51351986E8
202205,전국,외지인방문자(b),2.41048829E8
202205,전국,전체방문자(a+b),1.040685814E9
202205,전국,현지인방문자(a),7.99636985E8
202206,전국,외지인방문자(b),2.27965262E8
202206,전국,전체방문자(a+b),1.005584752E9
202206,전국,현지인방문자(a),7.7761949E8
202207,전국,외지인방문자(b),2.70994962E8
202207,전국,전체방문자(a+b),1.079656606E9
202207,전국,현지인방문자(a),8.08661644E8
202208,전국,외지인방문자(b),2.51784449E8
202208,전국,전체방문자(a+b),1.040400067E9
202208,전국,현지인방문자(a),7.88615618E8
202209,전국,외지인방문자(b),2.56265233E8
202209,전국,전체방문자(a+b),1.056008968E9
202209,전국,현지인방문자(a),7.99743735E8
202210,전국,외지인방문자(b),2.57389058E8
202210,전국,전체방문자(a+b),1.080857827E9
202210,전국,현지인방문자(a),8.23468768E8
202211,전국,외지인방문자(b),2.28248412E8
202211,전국,전체방문자(a+b),1.046344274E9
202211,전국,현지인방문자(a),8.18095862E8
202212,전국,외지인방문자(b),2.20604422E8
202212,전국,전체방문자(a+b),1.038421822E9
202212,전국,현지인방문자(a),8.17817399E8
