기준년월,광역지자체,중분류,지출액(천원)
201801,전국,관광총소비,1.1387774442E10
201802,전국,관광총소비,1.0936359696E10
201803,전국,관광총소비,1.2127690202E10
201804,전국,관광총소비,1.2079685041E10
201805,전국,관광총소비,1.31607187E10
201806,전국,관광총소비,1.250279129E10
201807,전국,관광총소비,1.3054855207E10
201808,전국,관광총소비,1.3157382113E10
201809,전국,관광총소비,1.3292297168E10
201810,전국,관광총소비,1.3087160196E10
201811,전국,관광총소비,1.2478529902E10
201812,전국,관광총소비,1.3441752655E10
201801,전국,호텔,1.06662958E8
201801,전국,캠핑장/펜션,8380476.0
201801,전국,기타숙박,9.8068542E7
201801,전국,여행업,1.98808402E8
201801,전국,항공운송,5.94844203E8
201801,전국,면세점,1.87570076E8
201801,전국,레저용품쇼핑,2.22983054E8
201801,전국,기타관광쇼핑,1.681962876E9
201801,전국,기타레저,1.21853412E8
201801,전국,문화서비스,1.52098763E8
201801,전국,육상운송,2.618806336E9
201801,전국,수상운송,7783207.0
201801,전국,렌터카,1.260271E7
201801,전국,대형쇼핑몰,2.141925954E9
201801,전국,골프장,5.0610382E7
201801,전국,뷰티,2.41230483E8
201801,전국,일반외식업,2.482296576E9
201801,전국,제과음료업,3.59837518E8
201801,전국,콘도,6.6257353E7
201801,전국,관광유원시설,2.2259539E7
201801,전국,스키장,1.0931622E7
201802,전국,호텔,8.8897235E7
201802,전국,캠핑장/펜션,7466225.0
201802,전국,기타숙박,8.9869931E7
201802,전국,여행업,1.53425802E8
201802,전국,항공운송,4.38042077E8
201802,전국,면세점,1.70885812E8
201802,전국,레저용품쇼핑,2.15699877E8
201802,전국,기타관광쇼핑,1.763721819E9
201802,전국,기타레저,1.16175454E8
201802,전국,문화서비스,1.16347482E8
201802,전국,육상운송,2.437259837E9
201802,전국,수상운송,8181733.0
201802,전국,대형쇼핑몰,2.29332649E9
201802,전국,골프장,7.138994E7
201802,전국,뷰티,2.43697404E8
201802,전국,일반외식업,2.282562682E9
201802,전국,제과음료업,3.49724438E8
201802,전국,콘도,4.5852867E7
201802,전국,렌터카,1.2639442E7
201802,전국,관광유원시설,2.3732286E7
201802,전국,스키장,7460862.0
201803,전국,호텔,9.3507876E7
201803,전국,캠핑장/펜션,8783802.0
201803,전국,기타숙박,1.04249061E8
201803,전국,여행업,1.3320171E8
201803,전국,항공운송,4.73444204E8
201803,전국,면세점,1.53830658E8
201803,전국,레저용품쇼핑,2.99658276E8
201803,전국,기타관광쇼핑,1.845436798E9
201803,전국,기타레저,1.32080889E8
201803,전국,문화서비스,1.02650639E8
201803,전국,육상운송,2.663638139E9
201803,전국,수상운송,1.1102183E7
201803,전국,렌터카,1.3734606E7
201803,전국,대형쇼핑몰,2.411221545E9
201803,전국,골프장,1.86689981E8
201803,전국,뷰티,2.72735347E8
201803,전국,일반외식업,2.74984845E9
201803,전국,제과음료업,4.18448415E8
201803,전국,콘도,2.1830168E7
201803,전국,관광유원시설,3.047364E7
201803,전국,스키장,1123814.0
201804,전국,호텔,9.4562539E7
201804,전국,캠핑장/펜션,9045849.0
201804,전국,기타숙박,1.0541968E8
201804,전국,여행업,1.43246578E8
201804,전국,항공운송,4.83976086E8
201804,전국,면세점,1.81584045E8
201804,전국,레저용품쇼핑,3.03615213E8
201804,전국,기타관광쇼핑,1.829800996E9
201804,전국,기타레저,1.29674968E8
201804,전국,문화서비스,1.2232399E8
201804,전국,육상운송,2.63111754E9
201804,전국,수상운송,1.4735798E7
201804,전국,렌터카,1.412678E7
201804,전국,대형쇼핑몰,2.28500092E9
201804,전국,골프장,2.33368061E8
201804,전국,뷰티,2.50698923E8
201804,전국,일반외식업,2.761574149E9
201804,전국,제과음료업,4.25516862E8
201804,전국,콘도,2.5540822E7
201804,전국,관광유원시설,3.4703478E7
201804,전국,스키장,51766.0
201805,전국,호텔,1.09614499E8
201805,전국,캠핑장/펜션,1.0232833E7
201805,전국,기타숙박,1.12837603E8
201805,전국,여행업,1.55573164E8
201805,전국,항공운송,5.21185686E8
201805,전국,면세점,1.85741781E8
201805,전국,레저용품쇼핑,3.27936283E8
201805,전국,기타관광쇼핑,1.985245381E9
201805,전국,기타레저,1.44813347E8
201805,전국,문화서비스,1.33966166E8
201805,전국,육상운송,2.803354429E9
201805,전국,수상운송,1.6663132E7
201805,전국,대형쇼핑몰,2.529886178E9
201805,전국,골프장,2.6891313E8
201805,전국,뷰티,2.71384968E8
201805,전국,일반외식업,3.031387134E9
201805,전국,제과음료업,4.5696043E8
201805,전국,콘도,3.3722371E7
201805,전국,렌터카,1.5754592E7
201805,전국,관광유원시설,4.5396021E7
201805,전국,스키장,149572.0
201806,전국,호텔,1.01364919E8
201806,전국,캠핑장/펜션,9888046.0
201806,전국,기타숙박,1.09689801E8
201806,전국,여행업,1.50103301E8
201806,전국,항공운송,5.46317196E8
201806,전국,면세점,1.85237684E8
201806,전국,레저용품쇼핑,2.85191475E8
201806,전국,기타관광쇼핑,1.904899564E9
201806,전국,기타레저,1.38835571E8
201806,전국,문화서비스,1.24126702E8
201806,전국,육상운송,2.704012419E9
201806,전국,수상운송,1.5261463E7
201806,전국,렌터카,1.5053042E7
201806,전국,대형쇼핑몰,2.333096178E9
201806,전국,골프장,2.7207141E8
201806,전국,뷰티,2.63191555E8
201806,전국,일반외식업,2.835978093E9
201806,전국,제과음료업,4.38019841E8
201806,전국,콘도,3.4666964E7
201806,전국,관광유원시설,3.5604028E7
201806,전국,스키장,182039.0
201807,전국,호텔,1.17028972E8
201807,전국,캠핑장/펜션,1.1208061E7
201807,전국,기타숙박,1.2146262E8
201807,전국,여행업,1.95389152E8
201807,전국,항공운송,5.52232829E8
201807,전국,면세점,1.97348579E8
201807,전국,레저용품쇼핑,2.67938077E8
201807,전국,기타관광쇼핑,1.950404482E9
201807,전국,기타레저,1.45476418E8
201807,전국,문화서비스,1.53517023E8
201807,전국,육상운송,2.88649065E9
201807,전국,수상운송,1.6975153E7
201807,전국,렌터카,1.7483052E7
201807,전국,대형쇼핑몰,2.423392261E9
201807,전국,골프장,2.15944191E8
201807,전국,뷰티,2.64768334E8
201807,전국,일반외식업,2.960385667E9
201807,전국,제과음료업,4.58555815E8
201807,전국,콘도,5.7477709E7
201807,전국,관광유원시설,4.1094919E7
201807,전국,스키장,281244.0
201808,전국,호텔,1.4326528E8
201808,전국,캠핑장/펜션,1.2861128E7
201808,전국,기타숙박,1.35170921E8
201808,전국,여행업,1.43009879E8
201808,전국,항공운송,5.00052265E8
201808,전국,면세점,2.05422065E8
201808,전국,레저용품쇼핑,2.28844621E8
201808,전국,기타관광쇼핑,2.07934149E9
201808,전국,기타레저,1.61703431E8
201808,전국,문화서비스,2.0655702E8
201808,전국,육상운송,2.928289953E9
201808,전국,수상운송,1.7357922E7
201808,전국,렌터카,1.9695287E7
201808,전국,대형쇼핑몰,2.233325447E9
201808,전국,골프장,1.87563435E8
201808,전국,뷰티,2.58530397E8
201808,전국,일반외식업,3.103046812E9
201808,전국,제과음료업,4.74416149E8
201808,전국,콘도,7.073732E7
201808,전국,관광유원시설,4.7695516E7
201808,전국,스키장,495777.0
201809,전국,호텔,1.04574794E8
201809,전국,캠핑장/펜션,8958433.0
201809,전국,기타숙박,1.11812848E8
201809,전국,여행업,1.51230887E8
201809,전국,항공운송,4.28167439E8
201809,전국,면세점,1.83808898E8
201809,전국,레저용품쇼핑,3.02263958E8
201809,전국,기타관광쇼핑,2.281277542E9
201809,전국,기타레저,1.4473E8
201809,전국,문화서비스,1.28934269E8
201809,전국,육상운송,2.804333251E9
201809,전국,수상운송,1.5322046E7
201809,전국,렌터카,1.4516778E7
201809,전국,대형쇼핑몰,2.633543334E9
201809,전국,골프장,2.48529672E8
201809,전국,뷰티,2.67313512E8
201809,전국,일반외식업,2.928272297E9
201809,전국,제과음료업,4.59956591E8
201809,전국,콘도,3.4551394E7
201809,전국,관광유원시설,3.9848171E7
201809,전국,스키장,351054.0
201810,전국,호텔,1.02188521E8
201810,전국,캠핑장/펜션,9270258.0
201810,전국,기타숙박,1.16753921E8
201810,전국,여행업,1.31956803E8
201810,전국,항공운송,4.51566887E8
201810,전국,면세점,1.68124395E8
201810,전국,레저용품쇼핑,3.76057567E8
201810,전국,기타관광쇼핑,1.949223281E9
201810,전국,기타레저,1.40907524E8
201810,전국,문화서비스,1.1595176E8
201810,전국,육상운송,2.939476347E9
