광역지자체명,광역지자체 방문자 수,광역지자체 방문자 비율
서울특별시,5.9578085E8,20.4
부산광역시,1.50240038E8,5.1
대구광역시,1.05352492E8,3.6
인천광역시,1.77319548E8,6.1
광주광역시,6.6355821E7,2.3
대전광역시,8.4639908E7,2.9
울산광역시,4.993689E7,1.7
세종특별자치시,2.796667E7,1.0
경기도,6.25437908E8,21.4
충청북도,1.15004435E8,3.9
충청남도,1.65468408E8,5.7
전라남도,1.2677792E8,4.3
경상북도,1.78592992E8,6.1
경상남도,1.57232103E8,5.4
제주특별자치도,5.7928874E7,2.0
강원특별자치도,1.46618304E8,5.0
전북특별자치도,9.6296204E7,3.3
