대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,40.0,41.6
쇼핑업,대형쇼핑몰,40.0,51.7
쇼핑업,레저용품쇼핑,40.0,5.4
쇼핑업,면세점,40.0,1.3
숙박업,기타숙박,2.5,37.5
숙박업,캠핑장/펜션,2.5,2.3
숙박업,콘도,2.5,15.3
숙박업,호텔,2.5,44.8
식음료업,일반외식업,29.3,84.4
식음료업,제과음료업,29.3,15.6
여가서비스업,골프장,4.4,55.4
여가서비스업,관광유원시설,4.4,7.1
여가서비스업,기타레저,4.4,23.2
여가서비스업,문화서비스,4.4,13.9
여가서비스업,스키장,4.4,0.4
여행업,여행업,0.1,100.0
운송업,렌터카,21.8,1.0
운송업,수상운송,21.8,0.3
운송업,육상운송,21.8,94.8
운송업,항공운송,21.8,3.9
의료웰니스업,뷰티,1.9,100.0
