대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,39.5,42.8
쇼핑업,대형쇼핑몰,39.5,50.2
쇼핑업,레저용품쇼핑,39.5,5.1
쇼핑업,면세점,39.5,1.9
숙박업,기타숙박,2.4,37.3
숙박업,캠핑장/펜션,2.4,2.4
숙박업,콘도,2.4,15.2
숙박업,호텔,2.4,45.1
식음료업,일반외식업,31.6,84.4
식음료업,제과음료업,31.6,15.6
여가서비스업,골프장,4.4,52.0
여가서비스업,관광유원시설,4.4,7.1
여가서비스업,기타레저,4.4,25.6
여가서비스업,문화서비스,4.4,15.0
여가서비스업,스키장,4.4,0.4
여행업,여행업,0.2,100.0
운송업,렌터카,19.9,0.9
운송업,수상운송,19.9,0.3
운송업,육상운송,19.9,92.6
운송업,항공운송,19.9,6.2
의료웰니스업,뷰티,2.1,100.0
