기준년월,광역지자체,중분류,지출액(천원)
202001,전국,관광총소비,1.2897344171E10
202002,전국,관광총소비,9.614625751E9
202003,전국,관광총소비,8.990319384E9
202004,전국,관광총소비,9.985599492E9
202005,전국,관광총소비,1.1853203992E10
202006,전국,관광총소비,1.1177217612E10
202007,전국,관광총소비,1.166976602E10
202008,전국,관광총소비,1.1493119075E10
202009,전국,관광총소비,1.0832071305E10
202010,전국,관광총소비,1.1892367312E10
202011,전국,관광총소비,1.1174645833E10
202012,전국,관광총소비,9.4209737E9
202001,전국,호텔,1.19335496E8
202001,전국,콘도,5.374982E7
202001,전국,기타숙박,1.74651649E8
202001,전국,여행업,3.68855692E8
202001,전국,육상운송,2.670485212E9
202001,전국,항공운송,4.2828697E8
202001,전국,렌터카,2.804231E7
202001,전국,면세점,2.16056977E8
202001,전국,레저용품쇼핑,2.566808E8
202001,전국,관광유원시설,2.5156317E7
202001,전국,골프장,8.3576732E7
202001,전국,기타레저,1.70116782E8
202001,전국,문화서비스,1.1009403E8
202001,전국,캠핑장/펜션,6933184.0
202001,전국,대형쇼핑몰,2.382581563E9
202001,전국,기타관광쇼핑,2.022618867E9
202001,전국,수상운송,6701611.0
202001,전국,뷰티,2.57129658E8
202001,전국,일반외식업,3.02826162E9
202001,전국,제과음료업,4.78912006E8
202001,전국,스키장,9116878.0
202002,전국,호텔,7.3055508E7
202002,전국,콘도,2.4976691E7
202002,전국,기타숙박,1.38193886E8
202002,전국,여행업,9.122095E7
202002,전국,육상운송,2.114017352E9
202002,전국,항공운송,2.32053756E8
202002,전국,렌터카,2.0337925E7
202002,전국,면세점,1.02394553E8
202002,전국,레저용품쇼핑,2.10808001E8
202002,전국,관광유원시설,9959674.0
202002,전국,골프장,1.09822822E8
202002,전국,기타레저,1.2239834E8
202002,전국,문화서비스,6.422186E7
202002,전국,캠핑장/펜션,5458430.0
202002,전국,대형쇼핑몰,1.728608586E9
202002,전국,기타관광쇼핑,1.611402884E9
202002,전국,수상운송,4856124.0
202002,전국,뷰티,2.05354146E8
202002,전국,일반외식업,2.357836475E9
202002,전국,제과음료업,3.836977E8
202002,전국,스키장,3950089.0
202003,전국,호텔,4.0805826E7
202003,전국,콘도,1.0080437E7
202003,전국,기타숙박,1.19509127E8
202003,전국,여행업,2.6755829E7
202003,전국,육상운송,1.953355897E9
202003,전국,항공운송,1.22440495E8
202003,전국,렌터카,1.9342367E7
202003,전국,면세점,3.3230629E7
