광역지자체명,광역지자체 방문자 수,광역지자체 방문자 비율
서울특별시,6.33285856E8,20.5
부산광역시,1.61883449E8,5.2
대구광역시,1.12428992E8,3.6
인천광역시,1.8548286E8,6.0
광주광역시,7.0979688E7,2.3
대전광역시,9.0947902E7,2.9
울산광역시,5.2682231E7,1.7
세종특별자치시,3.0128382E7,1.0
경기도,6.60044175E8,21.3
충청북도,1.22791739E8,4.0
충청남도,1.75403844E8,5.7
전라남도,1.32694562E8,4.3
경상북도,1.87787058E8,6.1
경상남도,1.66687846E8,5.4
제주특별자치도,5.9269886E7,1.9
강원특별자치도,1.51235214E8,4.9
전북특별자치도,1.0212958E8,3.3
