광역지자체명,광역지자체 방문자 수,광역지자체 방문자 비율
서울특별시,5.85384894E8,21.4
부산광역시,1.457176E8,5.3
대구광역시,1.04424348E8,3.8
인천광역시,1.53429882E8,5.6
광주광역시,6.3518182E7,2.3
대전광역시,8.2200738E7,3.0
울산광역시,4.5732718E7,1.7
세종특별자치시,2.3021856E7,0.8
경기도,5.84520363E8,21.4
충청북도,1.01864945E8,3.7
충청남도,1.48008816E8,5.4
전라남도,1.11307102E8,4.1
경상북도,1.6569322E8,6.1
경상남도,1.46715002E8,5.4
제주특별자치도,5.0818236E7,1.9
강원특별자치도,1.33465633E8,4.9
전북특별자치도,8.9167253E7,3.3
