기준년월,광역지자체,방문자 구분,방문자 수
201901,전국,외지인방문자(b),2.1603882E8
201901,전국,전체방문자(a+b),8.9803643E8
201901,전국,현지인방문자(a),6.8199761E8
201902,전국,외지인방문자(b),2.2037358E8
201902,전국,전체방문자(a+b),8.12953816E8
201902,전국,현지인방문자(a),5.92580236E8
201903,전국,외지인방문자(b),2.71202676E8
201903,전국,전체방문자(a+b),9.73110677E8
201903,전국,현지인방문자(a),7.01908E8
201904,전국,외지인방문자(b),2.0723046E8
201904,전국,전체방문자(a+b),8.47542342E8
201904,전국,현지인방문자(a),6.40311882E8
201905,전국,외지인방문자(b),2.39603808E8
201905,전국,전체방문자(a+b),9.16801942E8
201905,전국,현지인방문자(a),6.77198134E8
201906,전국,외지인방문자(b),2.29760916E8
201906,전국,전체방문자(a+b),8.78982528E8
201906,전국,현지인방문자(a),6.49221612E8
201907,전국,외지인방문자(b),2.62371242E8
201907,전국,전체방문자(a+b),9.18205309E8
201907,전국,현지인방문자(a),6.55834067E8
201908,전국,외지인방문자(b),2.93042802E8
201908,전국,전체방문자(a+b),9.46290023E8
201908,전국,현지인방문자(a),6.5324722E8
201909,전국,외지인방문자(b),2.69626354E8
201909,전국,전체방문자(a+b),9.13651025E8
201909,전국,현지인방문자(a),6.44024672E8
201910,전국,외지인방문자(b),2.52879781E8
201910,전국,전체방문자(a+b),9.24341184E8
201910,전국,현지인방문자(a),6.71461402E8
201911,전국,외지인방문자(b),2.528475E8
201911,전국,전체방문자(a+b),9.51398133E8
201911,전국,현지인방문자(a),6.98550632E8
201912,전국,외지인방문자(b),2.33213418E8
201912,전국,전체방문자(a+b),9.51317598E8
201912,전국,현지인방문자(a),7.1810418E8
