대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,39.1,43.0
쇼핑업,대형쇼핑몰,39.1,50.3
쇼핑업,레저용품쇼핑,39.1,4.8
쇼핑업,면세점,39.1,2.0
숙박업,기타숙박,2.2,36.2
숙박업,캠핑장/펜션,2.2,2.3
숙박업,콘도,2.2,13.7
숙박업,호텔,2.2,47.8
식음료업,일반외식업,32.0,84.3
식음료업,제과음료업,32.0,15.7
여가서비스업,골프장,4.0,52.1
여가서비스업,관광유원시설,4.0,7.1
여가서비스업,기타레저,4.0,27.4
여가서비스업,문화서비스,4.0,13.2
여가서비스업,스키장,4.0,0.3
여행업,여행업,0.2,100.0
운송업,렌터카,20.3,0.9
운송업,수상운송,20.3,0.3
운송업,육상운송,20.3,91.5
운송업,항공운송,20.3,7.2
의료웰니스업,뷰티,2.2,100.0
