광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,1.51848858E8,5.2,3.1979812E7,11.9
강원특별자치도,원주시,1.51848858E8,5.2,3.3205522E7,12.3
강원특별자치도,강릉시,1.51848858E8,5.2,3.4210099E7,12.7
강원특별자치도,동해시,1.51848858E8,5.2,1.1948419E7,4.4
강원특별자치도,태백시,1.51848858E8,5.2,5406163.0,2.0
강원특별자치도,속초시,1.51848858E8,5.2,2.4860045E7,9.2
강원특별자치도,삼척시,1.51848858E8,5.2,1.2062306E7,4.5
강원특별자치도,홍천군,1.51848858E8,5.2,1.696178E7,6.3
강원특별자치도,횡성군,1.51848858E8,5.2,1.1156142E7,4.1
강원특별자치도,영월군,1.51848858E8,5.2,7248297.0,2.7
강원특별자치도,평창군,1.51848858E8,5.2,1.7665613E7,6.6
강원특별자치도,정선군,1.51848858E8,5.2,9877122.0,3.7
강원특별자치도,철원군,1.51848858E8,5.2,7169348.0,2.7
강원특별자치도,화천군,1.51848858E8,5.2,4657212.0,1.7
강원특별자치도,양구군,1.51848858E8,5.2,2891791.0,1.1
강원특별자치도,인제군,1.51848858E8,5.2,9295818.0,3.5
강원특별자치도,고성군,1.51848858E8,5.2,1.2999136E7,4.8
강원특별자치도,양양군,1.51848858E8,5.2,1.5804134E7,5.9
경기도,수원시,6.27366383E8,21.5,1.76525996E8,10.0
경기도,성남시,6.27366383E8,21.5,1.43241952E8,8.1
경기도,의정부시,6.27366383E8,21.5,4.3543108E7,2.5
경기도,안양시,6.27366383E8,21.5,6.5941421E7,3.8
경기도,부천시,6.27366383E8,21.5,7.2007929E7,4.1
경기도,광명시,6.27366383E8,21.5,4.081909E7,2.3
경기도,평택시,6.27366383E8,21.5,4.8231438E7,2.7
경기도,동두천시,6.27366383E8,21.5,9741501.0,0.6
경기도,안산시,6.27366383E8,21.5,7.3697071E7,4.2
경기도,고양시,6.27366383E8,21.5,1.40709212E8,8.0
경기도,과천시,6.27366383E8,21.5,2.0448456E7,1.2
경기도,구리시,6.27366383E8,21.5,4.5153374E7,2.6
경기도,남양주시,6.27366383E8,21.5,7.2963352E7,4.2
경기도,오산시,6.27366383E8,21.5,2.8526491E7,1.6
경기도,시흥시,6.27366383E8,21.5,5.3104398E7,3.0
경기도,군포시,6.27366383E8,21.5,2.6247452E7,1.5
경기도,의왕시,6.27366383E8,21.5,2.8832328E7,1.6
경기도,하남시,6.27366383E8,21.5,5.6476056E7,3.2
경기도,용인시,6.27366383E8,21.5,1.31522475E8,7.5
경기도,파주시,6.27366383E8,21.5,5.338943E7,3.0
경기도,이천시,6.27366383E8,21.5,3.7623912E7,2.1
경기도,안성시,6.27366383E8,21.5,3.5788431E7,2.0
경기도,김포시,6.27366383E8,21.5,5.1254312E7,2.9
경기도,화성시,6.27366383E8,21.5,9.9817662E7,5.7
경기도,광주시,6.27366383E8,21.5,4.617424E7,2.6
경기도,양주시,6.27366383E8,21.5,3.4995852E7,2.0
경기도,포천시,6.27366383E8,21.5,2.8812248E7,1.6
경기도,여주시,6.27366383E8,21.5,2.5453953E7,1.4
경기도,연천군,6.27366383E8,21.5,9125529.0,0.5
경기도,가평군,6.27366383E8,21.5,2.6804148E7,1.5
경기도,양평군,6.27366383E8,21.5,3.0927008E7,1.8
경상남도,창원시,1.5531293E8,5.3,1.10396741E8,30.6
경상남도,진주시,1.5531293E8,5.3,2.2625138E7,6.3
경상남도,통영시,1.5531293E8,5.3,1.59297E7,4.4
경상남도,사천시,1.5531293E8,5.3,1.5804456E7,4.4
경상남도,김해시,1.5531293E8,5.3,4.4175498E7,12.3
경상남도,밀양시,1.5531293E8,5.3,1.5103218E7,4.2
경상남도,거제시,1.5531293E8,5.3,2.3159104E7,6.4
경상남도,양산시,1.5531293E8,5.3,3.3959163E7,9.4
경상남도,의령군,1.5531293E8,5.3,4407442.0,1.2
경상남도,함안군,1.5531293E8,5.3,1.103417E7,3.1
경상남도,창녕군,1.5531293E8,5.3,9794830.0,2.7
경상남도,고성군,1.5531293E8,5.3,9720232.0,2.7
경상남도,남해군,1.5531293E8,5.3,8570436.0,2.4
경상남도,하동군,1.5531293E8,5.3,8239802.0,2.3
경상남도,산청군,1.5531293E8,5.3,7305820.0,2.0
경상남도,함양군,1.5531293E8,5.3,6520076.0,1.8
경상남도,거창군,1.5531293E8,5.3,6580472.0,1.8
경상남도,합천군,1.5531293E8,5.3,6918681.0,1.9
경상북도,포항시,1.80116114E8,6.2,5.4741813E7,16.6
경상북도,경주시,1.80116114E8,6.2,4.7543034E7,14.5
경상북도,김천시,1.80116114E8,6.2,1.2996834E7,4.0
경상북도,안동시,1.80116114E8,6.2,1.71332E7,5.2
경상북도,구미시,1.80116114E8,6.2,2.6158044E7,8.0
경상북도,영주시,1.80116114E8,6.2,8869693.0,2.7
경상북도,영천시,1.80116114E8,6.2,1.3292755E7,4.0
경상북도,상주시,1.80116114E8,6.2,1.3742866E7,4.2
경상북도,문경시,1.80116114E8,6.2,1.125347E7,3.4
경상북도,경산시,1.80116114E8,6.2,3.1100198E7,9.5
경상북도,의성군,1.80116114E8,6.2,7243204.0,2.2
경상북도,청송군,1.80116114E8,6.2,5187378.0,1.6
경상북도,영양군,1.80116114E8,6.2,1730488.0,0.5
경상북도,영덕군,1.80116114E8,6.2,1.0492248E7,3.2
경상북도,청도군,1.80116114E8,6.2,1.041468E7,3.2
경상북도,고령군,1.80116114E8,6.2,6172537.0,1.9
경상북도,성주군,1.80116114E8,6.2,7516768.0,2.3
경상북도,칠곡군,1.80116114E8,6.2,2.174102E7,6.6
경상북도,예천군,1.80116114E8,6.2,6933598.0,2.1
경상북도,봉화군,1.80116114E8,6.2,4572400.0,1.4
경상북도,울진군,1.80116114E8,6.2,8373813.0,2.5
경상북도,울릉군,1.80116114E8,6.2,1722892.0,0.5
광주광역시,동구,6.625732E7,2.3,3.3695221E7,17.1
광주광역시,서구,6.625732E7,2.3,5.0665839E7,25.8
광주광역시,남구,6.625732E7,2.3,2.0769088E7,10.6
광주광역시,북구,6.625732E7,2.3,4.6529238E7,23.7
