기준년월,광역지자체,방문자 구분,방문자 수
202501,전국,외지인방문자(b),2.494644E8
202501,전국,전체방문자(a+b),9.9624825E8
202501,전국,현지인방문자(a),7.46783849E8
202502,전국,외지인방문자(b),2.12761913E8
202502,전국,전체방문자(a+b),9.17012033E8
202502,전국,현지인방문자(a),7.0425012E8
202503,전국,외지인방문자(b),2.6725553E8
202503,전국,전체방문자(a+b),1.047092564E9
202503,전국,현지인방문자(a),7.79837034E8
202504,전국,외지인방문자(b),2.24573307E8
202504,전국,전체방문자(a+b),1.00120146E9
202504,전국,현지인방문자(a),7.76628153E8
202505,전국,외지인방문자(b),2.94537796E8
202505,전국,전체방문자(a+b),1.114671708E9
202505,전국,현지인방문자(a),8.20133912E8
202506,전국,외지인방문자(b),2.48355233E8
202506,전국,전체방문자(a+b),1.056194909E9
202506,전국,현지인방문자(a),8.07839676E8
202507,전국,외지인방문자(b),2.65590038E8
202507,전국,전체방문자(a+b),1.107580201E9
202507,전국,현지인방문자(a),8.41990163E8
202508,전국,외지인방문자(b),2.76922254E8
202508,전국,전체방문자(a+b),1.100347818E9
202508,전국,현지인방문자(a),8.23425564E8
202509,전국,외지인방문자(b),2.53690426E8
202509,전국,전체방문자(a+b),1.088562906E9
202509,전국,현지인방문자(a),8.34872479E8
202510,전국,외지인방문자(b),2.97320482E8
202510,전국,전체방문자(a+b),1.114637944E9
202510,전국,현지인방문자(a),8.17317462E8
202511,전국,외지인방문자(b),2.56506246E8
202511,전국,전체방문자(a+b),1.090827647E9
202511,전국,현지인방문자(a),8.343214E8
202512,전국,외지인방문자(b),2.48885637E8
202512,전국,전체방문자(a+b),1.091103184E9
202512,전국,현지인방문자(a),8.42217548E8
