광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원특별자치도,춘천시,1.51235214E8,4.9,3.031755E7,11.0
강원특별자치도,원주시,1.51235214E8,4.9,3.4872719E7,12.6
강원특별자치도,강릉시,1.51235214E8,4.9,3.4369052E7,12.4
강원특별자치도,동해시,1.51235214E8,4.9,1.2337381E7,4.5
강원특별자치도,태백시,1.51235214E8,4.9,5484154.0,2.0
강원특별자치도,속초시,1.51235214E8,4.9,2.6004958E7,9.4
강원특별자치도,삼척시,1.51235214E8,4.9,1.2247868E7,4.4
강원특별자치도,홍천군,1.51235214E8,4.9,2.2264907E7,8.0
강원특별자치도,횡성군,1.51235214E8,4.9,1.1435218E7,4.1
강원특별자치도,영월군,1.51235214E8,4.9,7287028.0,2.6
강원특별자치도,평창군,1.51235214E8,4.9,1.7450391E7,6.3
강원특별자치도,정선군,1.51235214E8,4.9,1.0187373E7,3.7
강원특별자치도,철원군,1.51235214E8,4.9,6823523.0,2.5
강원특별자치도,화천군,1.51235214E8,4.9,4317246.0,1.6
강원특별자치도,양구군,1.51235214E8,4.9,3034185.0,1.1
강원특별자치도,인제군,1.51235214E8,4.9,9881246.0,3.6
강원특별자치도,고성군,1.51235214E8,4.9,1.2867253E7,4.6
강원특별자치도,양양군,1.51235214E8,4.9,1.554162E7,5.6
경기도,수원시,6.60044175E8,21.3,1.97404756E8,10.5
경기도,성남시,6.60044175E8,21.3,1.50498982E8,8.0
경기도,의정부시,6.60044175E8,21.3,4.3723435E7,2.3
경기도,안양시,6.60044175E8,21.3,7.17771E7,3.8
경기도,부천시,6.60044175E8,21.3,1.07586042E8,5.7
경기도,광명시,6.60044175E8,21.3,4.5173992E7,2.4
경기도,평택시,6.60044175E8,21.3,5.435009E7,2.9
경기도,동두천시,6.60044175E8,21.3,1.0291432E7,0.5
경기도,안산시,6.60044175E8,21.3,8.1026704E7,4.3
경기도,고양시,6.60044175E8,21.3,1.47370912E8,7.8
경기도,과천시,6.60044175E8,21.3,2.1756396E7,1.2
경기도,구리시,6.60044175E8,21.3,4.8324591E7,2.6
경기도,남양주시,6.60044175E8,21.3,7.1537036E7,3.8
경기도,오산시,6.60044175E8,21.3,3.1783602E7,1.7
경기도,시흥시,6.60044175E8,21.3,5.6498228E7,3.0
경기도,군포시,6.60044175E8,21.3,2.6327126E7,1.4
경기도,의왕시,6.60044175E8,21.3,3.1454752E7,1.7
경기도,하남시,6.60044175E8,21.3,5.894931E7,3.1
경기도,용인시,6.60044175E8,21.3,1.43776294E8,7.6
경기도,파주시,6.60044175E8,21.3,5.3117096E7,2.8
경기도,이천시,6.60044175E8,21.3,3.65013E7,1.9
경기도,안성시,6.60044175E8,21.3,3.661643E7,1.9
경기도,김포시,6.60044175E8,21.3,5.2503766E7,2.8
경기도,화성시,6.60044175E8,21.3,1.04112312E8,5.5
경기도,광주시,6.60044175E8,21.3,4.7871411E7,2.5
경기도,양주시,6.60044175E8,21.3,3.505732E7,1.9
경기도,포천시,6.60044175E8,21.3,2.8267088E7,1.5
경기도,여주시,6.60044175E8,21.3,2.4741706E7,1.3
경기도,연천군,6.60044175E8,21.3,9108421.0,0.5
경기도,가평군,6.60044175E8,21.3,2.6055662E7,1.4
경기도,양평군,6.60044175E8,21.3,2.9355088E7,1.6
경상남도,창원시,1.66687846E8,5.4,1.18794417E8,30.9
