광역지자체명,광역지자체 방문자 수,광역지자체 방문자 비율
서울특별시,5.87266491E8,20.1
부산광역시,1.48044554E8,5.1
대구광역시,1.02614956E8,3.5
인천광역시,1.75109028E8,6.0
광주광역시,6.625732E7,2.3
대전광역시,8.200934E7,2.8
울산광역시,4.9032032E7,1.7
세종특별자치시,2.7405046E7,0.9
경기도,6.27366383E8,21.5
충청북도,1.12764396E8,3.9
충청남도,1.64815175E8,5.7
전라남도,1.28427117E8,4.4
경상북도,1.80116114E8,6.2
경상남도,1.5531293E8,5.3
제주특별자치도,6.0629072E7,2.1
강원특별자치도,1.51848858E8,5.2
전북특별자치도,9.6051949E7,3.3
