월,전체방문자수,관광총소비_천원,숙박업소비_천원,식음료업소비_천원,쇼핑소비_천원
1,96.6,97.6,84.0,93.2,97.0
2,89.5,85.9,75.4,85.5,85.7
3,97.6,89.5,68.2,89.8,89.8
4,95.0,94.9,79.0,98.2,94.7
5,103.8,106.5,97.0,112.4,108.1
6,102.3,101.3,107.2,105.6,97.8
7,104.3,103.4,136.4,107.0,96.9
8,101.7,101.7,131.7,103.3,98.1
9,101.3,101.6,91.5,94.3,108.5
10,106.6,112.5,115.5,113.7,112.9
11,102.5,107.8,109.3,108.6,106.8
12,98.8,97.2,104.8,88.4,103.6
