월,전체방문자수,관광총소비_천원,숙박업소비_천원,식음료업소비_천원,쇼핑소비_천원
1,96.4,94.0,92.9,90.4,96.3
2,88.8,85.1,82.5,83.3,86.6
3,101.3,95.3,78.5,95.1,97.0
4,95.5,96.8,87.1,97.7,96.4
5,103.9,106.4,99.6,109.0,106.4
6,99.6,99.7,102.2,101.3,97.2
7,103.2,102.8,124.8,104.1,97.4
8,102.2,104.0,127.8,107.2,98.8
9,101.6,101.3,94.0,97.6,105.0
10,104.7,108.0,104.7,108.6,108.7
11,101.5,102.5,96.9,101.3,103.9
12,101.2,104.2,108.9,104.3,106.2
