월,전체방문자수,관광총소비_천원,숙박업소비_천원,식음료업소비_천원,쇼핑소비_천원
1,96.3,93.2,96.3,89.1,98.5
2,88.8,84.1,86.2,82.5,85.4
3,101.3,96.3,82.2,95.2,98.7
4,96.6,97.9,89.8,98.6,97.5
5,104.5,106.9,100.8,109.5,106.2
6,98.9,99.2,101.0,100.6,96.7
7,102.9,102.9,122.3,104.0,97.5
8,101.7,104.0,123.3,107.7,98.6
9,101.3,101.0,94.9,98.6,102.3
10,104.8,107.7,102.4,108.2,108.6
11,101.3,101.2,93.5,99.0,103.2
12,101.5,105.5,107.4,106.9,106.9
