월,전체방문자수,관광총소비_천원,숙박업소비_천원,식음료업소비_천원,쇼핑소비_천원
1,96.6,92.7,92.1,91.0,90.7
2,88.1,86.5,78.5,83.3,89.9
3,105.0,98.3,78.1,99.6,100.2
4,93.6,95.7,87.8,95.2,95.7
5,102.8,105.1,98.7,104.9,105.3
6,98.3,99.6,100.5,99.2,97.9
7,102.6,102.2,119.3,101.7,97.7
8,103.7,105.8,138.5,109.6,100.0
9,102.5,101.6,94.4,98.0,107.8
10,102.7,104.5,99.8,105.1,104.7
11,100.9,100.9,93.4,100.5,102.7
12,103.1,107.2,119.1,112.0,107.4
